,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
171,tt_35,126,True,minmax,True,94,32,mlp,recall,0.875,0.923076923076923,0.6,1,0.75,0.923076923076923,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
174,tt_35,126,True,minmax,True,94,32,mlp,roc_auc,0.875,0.923076923076923,0.6,1,0.75,0.923076923076923,{'clf__activation': 'relu', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
201,descr_react,126,True,minmax,True,94,32,random_forest,recall,0.875,0.923076923076923,0.6,1,0.75,0.923076923076923,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
203,descr_react,126,True,minmax,True,94,32,random_forest,balanced_accuracy,0.875,0.923076923076923,0.6,1,0.75,0.923076923076923,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
204,descr_react,126,True,minmax,True,94,32,random_forest,roc_auc,0.875,0.923076923076923,0.6,1,0.75,0.923076923076923,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
95,tt_0,126,True,minmax,True,94,32,random_forest,precision,0.84375,0.775641025641025,0.571428571428571,0.666666666666667,0.615384615384615,0.775641025641025,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
1,all_columns,126,True,minmax,True,94,32,gaussian_nb,recall,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__var_smoothing': 1e-08},,,,,
3,all_columns,126,True,minmax,True,94,32,gaussian_nb,balanced_accuracy,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__var_smoothing': 5e-08},,,,,
15,all_columns,126,True,minmax,True,94,32,svm,precision,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
35,reduced,126,True,minmax,True,94,32,gaussian_nb,precision,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__var_smoothing': 1e-08},,,,,
37,reduced,126,True,minmax,True,94,32,gaussian_nb,f1,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__var_smoothing': 1e-09},,,,,
50,reduced,126,True,minmax,True,94,32,svm,precision,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__C': 100, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
69,reduced,126,True,minmax,True,94,32,mlp,roc_auc,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
84,tt_0,126,True,minmax,True,94,32,ada,roc_auc,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 10},,,
97,tt_0,126,True,minmax,True,94,32,random_forest,f1,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
120,tt_1,126,True,minmax,True,94,32,svm,precision,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
138,tt_1,126,True,minmax,True,94,32,mlp,balanced_accuracy,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
140,tt_35,126,True,minmax,True,94,32,gaussian_nb,precision,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__var_smoothing': 2e-08},,,,,
141,tt_35,126,True,minmax,True,94,32,gaussian_nb,recall,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__var_smoothing': 2e-09},,,,,
142,tt_35,126,True,minmax,True,94,32,gaussian_nb,f1,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__var_smoothing': 1e-08},,,,,
143,tt_35,126,True,minmax,True,94,32,gaussian_nb,balanced_accuracy,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__var_smoothing': 1e-09},,,,,
144,tt_35,126,True,minmax,True,94,32,gaussian_nb,roc_auc,0.84375,0.83974358974359,0.555555555555556,0.833333333333333,0.666666666666667,0.83974358974359,{'clf__var_smoothing': 2e-09},,,,,
