,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,mean,std,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
0,all_columns,122,True,minmax,True,91,31,gaussian_nb,precision,0.476452119309262,0.35264911419296,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__var_smoothing': 5e-08},,,,,
11,all_columns,122,True,minmax,True,91,31,ada,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
12,all_columns,122,True,minmax,True,91,31,ada,f1,0.82026862026862,0.146172562893913,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.1, 'clf__n_estimators': 10},,,
13,all_columns,122,True,minmax,True,91,31,ada,balanced_accuracy,0.921847888953152,0.078456852662995,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
19,all_columns,122,True,minmax,True,91,31,svm,roc_auc,0.853672643146327,0.162933332617156,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__C': 1000, 'clf__gamma': 1e-05, 'clf__kernel': 'sigmoid'},,,
20,all_columns,122,True,minmax,True,91,31,decision_tree,precision,0.81043956043956,0.207485797675815,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__splitter': 'best'}
22,all_columns,122,True,minmax,True,91,31,decision_tree,f1,0.739795918367347,0.146182424568356,0.806451612903226,0.69,0.5,0.5,0.5,0.69,{'clf__criterion': 'gini', 'clf__max_depth': 4, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__splitter': 'best'}
25,all_columns,122,True,minmax,True,91,31,random_forest,precision,0.831501831501831,0.166656603165968,0.806451612903226,0.753333333333333,0.5,0.666666666666667,0.571428571428571,0.753333333333333,{'clf__bootstrap': False, 'clf__max_depth': 50, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
28,all_columns,122,True,minmax,True,91,31,random_forest,balanced_accuracy,0.890254482359745,0.130595220591235,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
38,reduced,122,True,minmax,True,91,31,gaussian_nb,balanced_accuracy,0.850347021399653,0.118551890186662,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__var_smoothing': 1e-08},,,,,
44,reduced,122,True,minmax,True,91,31,knn,roc_auc,0.90521978021978,0.105830859715233,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'},,
46,reduced,122,True,minmax,True,91,31,ada,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
47,reduced,122,True,minmax,True,91,31,ada,f1,0.801887001887002,0.152021443578383,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
48,reduced,122,True,minmax,True,91,31,ada,balanced_accuracy,0.921847888953152,0.078456852662995,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
49,reduced,122,True,minmax,True,91,31,ada,roc_auc,0.916859456333141,0.086510643896627,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
53,reduced,122,True,minmax,True,91,31,svm,balanced_accuracy,0.875867553499132,0.065290245765025,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'},,,
56,reduced,122,True,minmax,True,91,31,decision_tree,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.69,0.5,0.5,0.5,0.69,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
59,reduced,122,True,minmax,True,91,31,decision_tree,roc_auc,0.930161943319838,0.081027218504346,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
60,reduced,122,True,minmax,True,91,31,random_forest,precision,0.76530612244898,0.233513515277364,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
61,reduced,122,True,minmax,True,91,31,random_forest,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
62,reduced,122,True,minmax,True,91,31,random_forest,f1,0.82997002997003,0.174151520713757,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
63,reduced,122,True,minmax,True,91,31,random_forest,balanced_accuracy,0.928499132446501,0.083521394902442,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 100}
66,reduced,122,True,minmax,True,91,31,mlp,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
67,reduced,122,True,minmax,True,91,31,mlp,f1,0.703655319039935,0.172835215658641,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
69,reduced,122,True,minmax,True,91,31,mlp,roc_auc,0.89358010410642,0.137996316207506,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'adam'},
71,tt_0,122,True,minmax,True,91,31,gaussian_nb,recall,0.747252747252747,0.434587251280993,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__var_smoothing': 1e-09},,,,,
72,tt_0,122,True,minmax,True,91,31,gaussian_nb,f1,0.552831783601014,0.357162613807783,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__var_smoothing': 1e-08},,,,,
74,tt_0,122,True,minmax,True,91,31,gaussian_nb,roc_auc,0.850347021399653,0.17086509664169,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__var_smoothing': 2e-09},,,,,
81,tt_0,122,True,minmax,True,91,31,ada,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
82,tt_0,122,True,minmax,True,91,31,ada,f1,0.801887001887002,0.152021443578383,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
83,tt_0,122,True,minmax,True,91,31,ada,balanced_accuracy,0.921847888953152,0.078456852662995,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
84,tt_0,122,True,minmax,True,91,31,ada,roc_auc,0.921847888953152,0.078456852662995,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
85,tt_0,122,True,minmax,True,91,31,svm,precision,0.709340659340659,0.313252354815359,0.806451612903226,0.69,0.5,0.5,0.5,0.69,{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
87,tt_0,122,True,minmax,True,91,31,svm,f1,0.695171495171495,0.212016518582405,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__C': 50, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
89,tt_0,122,True,minmax,True,91,31,svm,roc_auc,0.902641218430692,0.12181013875729,0.806451612903226,0.69,0.5,0.5,0.5,0.69,{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
92,tt_0,122,True,minmax,True,91,31,decision_tree,f1,0.801887001887002,0.152021443578383,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__splitter': 'best'}
94,tt_0,122,True,minmax,True,91,31,decision_tree,roc_auc,0.93515037593985,0.078866424118712,0.806451612903226,0.753333333333333,0.5,0.666666666666667,0.571428571428571,0.753333333333333,{'clf__criterion': 'entropy', 'clf__max_depth': 6, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
96,tt_0,122,True,minmax,True,91,31,random_forest,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
98,tt_0,122,True,minmax,True,91,31,random_forest,balanced_accuracy,0.908545401966455,0.081852368722788,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
100,tt_0,122,True,minmax,True,91,31,mlp,precision,0.767765567765568,0.252820502206187,0.806451612903226,0.69,0.5,0.5,0.5,0.69,{'clf__activation': 'relu', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'adam'}
113,tt_35,122,True,minmax,True,91,31,knn,balanced_accuracy,0.855624638519375,0.081481421287836,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'},,
115,tt_35,122,True,minmax,True,91,31,ada,precision,0.714756671899529,0.195846653944309,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
118,tt_35,122,True,minmax,True,91,31,ada,balanced_accuracy,0.921847888953152,0.078456852662995,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
119,tt_35,122,True,minmax,True,91,31,ada,roc_auc,0.921847888953152,0.078456852662995,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
123,tt_35,122,True,minmax,True,91,31,svm,balanced_accuracy,0.838707345286293,0.126677665370436,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
125,tt_35,122,True,minmax,True,91,31,decision_tree,precision,0.797802197802198,0.245387346628304,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 3, 'clf__splitter': 'best'}
127,tt_35,122,True,minmax,True,91,31,decision_tree,f1,0.786568986568987,0.161524386648174,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 6, 'clf__splitter': 'best'}
128,tt_35,122,True,minmax,True,91,31,decision_tree,balanced_accuracy,0.921847888953152,0.078456852662995,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
136,tt_35,122,True,minmax,True,91,31,mlp,recall,0.81043956043956,0.207485797675815,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
139,tt_35,122,True,minmax,True,91,31,mlp,roc_auc,0.873626373626374,0.174394318391143,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__activation': 'tanh', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
147,tt_wilcoxon,122,True,minmax,True,91,31,knn,f1,0.686654005335324,0.200794379133539,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'distance'},,
151,tt_wilcoxon,122,True,minmax,True,91,31,ada,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
152,tt_wilcoxon,122,True,minmax,True,91,31,ada,f1,0.801887001887002,0.152021443578383,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
153,tt_wilcoxon,122,True,minmax,True,91,31,ada,balanced_accuracy,0.928499132446501,0.067918198143617,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.1, 'clf__n_estimators': 10},,,
163,tt_wilcoxon,122,True,minmax,True,91,31,decision_tree,balanced_accuracy,0.915196645459803,0.079352695695583,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
166,tt_wilcoxon,122,True,minmax,True,91,31,random_forest,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
167,tt_wilcoxon,122,True,minmax,True,91,31,random_forest,f1,0.801887001887002,0.152021443578383,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
171,tt_wilcoxon,122,True,minmax,True,91,31,mlp,recall,0.873626373626374,0.124992452374476,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
185,tt_35_premed,122,True,minmax,True,91,31,ada,precision,0.721978021978022,0.212805538741745,0.806451612903226,0.753333333333333,0.5,0.666666666666667,0.571428571428571,0.753333333333333,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 1, 'clf__n_estimators': 100},,,
186,tt_35_premed,122,True,minmax,True,91,31,ada,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
187,tt_35_premed,122,True,minmax,True,91,31,ada,f1,0.801887001887002,0.152021443578383,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
188,tt_35_premed,122,True,minmax,True,91,31,ada,balanced_accuracy,0.921847888953152,0.078456852662995,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
189,tt_35_premed,122,True,minmax,True,91,31,ada,roc_auc,0.923510699826489,0.094318046600928,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 100},,,
192,tt_35_premed,122,True,minmax,True,91,31,svm,f1,0.745720945720946,0.150546117562973,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__C': 100, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'},,,
193,tt_35_premed,122,True,minmax,True,91,31,svm,balanced_accuracy,0.88194042799306,0.081481421287836,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__C': 25, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
197,tt_35_premed,122,True,minmax,True,91,31,decision_tree,f1,0.811519676904292,0.1441556603544,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 4, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__splitter': 'best'}
198,tt_35_premed,122,True,minmax,True,91,31,decision_tree,balanced_accuracy,0.908834586466165,0.08371117075435,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__splitter': 'best'}
201,tt_35_premed,122,True,minmax,True,91,31,random_forest,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
203,tt_35_premed,122,True,minmax,True,91,31,random_forest,balanced_accuracy,0.921847888953152,0.078456852662995,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
205,tt_35_premed,122,True,minmax,True,91,31,mlp,precision,0.638932496075353,0.237630727842755,0.806451612903226,0.753333333333333,0.5,0.666666666666667,0.571428571428571,0.753333333333333,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'adam'}
208,tt_35_premed,122,True,minmax,True,91,31,mlp,balanced_accuracy,0.845358588779641,0.205783525407694,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__activation': 'relu', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
209,tt_35_premed,122,True,minmax,True,91,31,mlp,roc_auc,0.896905725853094,0.118352974073487,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
215,tt_wilcoxon_premed,122,True,minmax,True,91,31,knn,precision,0.599616256759114,0.234762103563338,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 3, 'clf__p': 4, 'clf__weights': 'uniform'},,
221,tt_wilcoxon_premed,122,True,minmax,True,91,31,ada,recall,0.936813186813187,0.108646812820248,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
222,tt_wilcoxon_premed,122,True,minmax,True,91,31,ada,f1,0.801887001887002,0.152021443578383,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
223,tt_wilcoxon_premed,122,True,minmax,True,91,31,ada,balanced_accuracy,0.921847888953152,0.078456852662995,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
225,tt_wilcoxon_premed,122,True,minmax,True,91,31,svm,precision,0.623687423687424,0.235519203723975,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
227,tt_wilcoxon_premed,122,True,minmax,True,91,31,svm,f1,0.660989010989011,0.239022988204546,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__C': 1, 'clf__kernel': 'linear'},,,,
228,tt_wilcoxon_premed,122,True,minmax,True,91,31,svm,balanced_accuracy,0.86364950838635,0.119826765112469,0.806451612903226,0.88,0.5,1,0.666666666666667,0.88,{'clf__C': 1000, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf'},,,
232,tt_wilcoxon_premed,122,True,minmax,True,91,31,decision_tree,f1,0.834711320425606,0.14627937823462,0.806451612903226,0.753333333333333,0.5,0.666666666666667,0.571428571428571,0.753333333333333,{'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
233,tt_wilcoxon_premed,122,True,minmax,True,91,31,decision_tree,balanced_accuracy,0.928499132446501,0.067918198143617,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 5, 'clf__splitter': 'best'}
241,tt_wilcoxon_premed,122,True,minmax,True,91,31,mlp,recall,0.81043956043956,0.325940438460745,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__activation': 'relu', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
242,tt_wilcoxon_premed,122,True,minmax,True,91,31,mlp,f1,0.71013431013431,0.154519911566575,0.806451612903226,0.816666666666667,0.5,0.833333333333333,0.625,0.816666666666667,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
52,reduced,122,True,minmax,True,91,31,svm,f1,0.685980685980686,0.184162732488933,0.774193548387097,0.86,0.461538461538462,1,0.631578947368421,0.86,{'clf__C': 50, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
76,tt_0,122,True,minmax,True,91,31,knn,recall,0.936813186813187,0.108646812820248,0.774193548387097,0.86,0.461538461538462,1,0.631578947368421,0.86,{'clf__algorithm': 'auto', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'},,
88,tt_0,122,True,minmax,True,91,31,svm,balanced_accuracy,0.862275882012724,0.092752631790846,0.774193548387097,0.86,0.461538461538462,1,0.631578947368421,0.86,{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
110,tt_35,122,True,minmax,True,91,31,knn,precision,0.518376068376068,0.281435855015298,0.774193548387097,0.86,0.461538461538462,1,0.631578947368421,0.86,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'},,
114,tt_35,122,True,minmax,True,91,31,knn,roc_auc,0.858661075766339,0.104534796795424,0.774193548387097,0.86,0.461538461538462,1,0.631578947368421,0.86,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'},,
146,tt_wilcoxon,122,True,minmax,True,91,31,knn,recall,0.936813186813187,0.108646812820248,0.774193548387097,0.86,0.461538461538462,1,0.631578947368421,0.86,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'},,
148,tt_wilcoxon,122,True,minmax,True,91,31,knn,balanced_accuracy,0.875289184499711,0.090898858297122,0.774193548387097,0.86,0.461538461538462,1,0.631578947368421,0.86,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'distance'},,
149,tt_wilcoxon,122,True,minmax,True,91,31,knn,roc_auc,0.870300751879699,0.145390257404276,0.774193548387097,0.86,0.461538461538462,1,0.631578947368421,0.86,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'},,
158,tt_wilcoxon,122,True,minmax,True,91,31,svm,balanced_accuracy,0.855624638519375,0.093016656225868,0.774193548387097,0.86,0.461538461538462,1,0.631578947368421,0.86,{'clf__C': 10, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
181,tt_35_premed,122,True,minmax,True,91,31,knn,recall,0.936813186813187,0.108646812820248,0.774193548387097,0.86,0.461538461538462,1,0.631578947368421,0.86,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'},,
183,tt_35_premed,122,True,minmax,True,91,31,knn,balanced_accuracy,0.861986697513013,0.101396494365644,0.774193548387097,0.86,0.461538461538462,1,0.631578947368421,0.86,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'},,
