,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,mean,std,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
143,tt_wilcoxon,122,True,minmax,True,91,31,gaussian_nb,balanced_accuracy,0.78716020821284,0.220265210219221,0.870967741935484,0.856666666666667,0.625,0.833333333333333,0.714285714285714,0.856666666666667,{'clf__var_smoothing': 1e-09},,,,,
154,tt_wilcoxon,122,True,minmax,True,91,31,ada,roc_auc,0.931824754193175,0.078278910954438,0.870967741935484,0.856666666666667,0.625,0.833333333333333,0.714285714285714,0.856666666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 200},,,
162,tt_wilcoxon,122,True,minmax,True,91,31,decision_tree,f1,0.814652014652014,0.184847809968178,0.870967741935484,0.856666666666667,0.625,0.833333333333333,0.714285714285714,0.856666666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 3, 'clf__splitter': 'best'}
168,tt_wilcoxon,122,True,minmax,True,91,31,random_forest,balanced_accuracy,0.928499132446501,0.083521394902442,0.870967741935484,0.856666666666667,0.625,0.833333333333333,0.714285714285714,0.856666666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
176,tt_35_premed,122,True,minmax,True,91,31,gaussian_nb,recall,0.747252747252747,0.434587251280993,0.870967741935484,0.856666666666667,0.625,0.833333333333333,0.714285714285714,0.856666666666667,{'clf__var_smoothing': 1e-09},,,,,
200,tt_35_premed,122,True,minmax,True,91,31,random_forest,precision,0.797802197802198,0.245387346628304,0.870967741935484,0.856666666666667,0.625,0.833333333333333,0.714285714285714,0.856666666666667,{'clf__bootstrap': True, 'clf__max_depth': 50, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
204,tt_35_premed,122,True,minmax,True,91,31,random_forest,roc_auc,0.940885868517447,0.070346866302311,0.870967741935484,0.856666666666667,0.625,0.833333333333333,0.714285714285714,0.856666666666667,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
224,tt_wilcoxon_premed,122,True,minmax,True,91,31,ada,roc_auc,0.925583188741084,0.074680952225671,0.870967741935484,0.856666666666667,0.625,0.833333333333333,0.714285714285714,0.856666666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.05, 'clf__n_estimators': 50},,,
238,tt_wilcoxon_premed,122,True,minmax,True,91,31,random_forest,balanced_accuracy,0.915196645459803,0.07481122522803,0.870967741935484,0.856666666666667,0.625,0.833333333333333,0.714285714285714,0.856666666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
239,tt_wilcoxon_premed,122,True,minmax,True,91,31,random_forest,roc_auc,0.951778484673222,0.075454437280742,0.870967741935484,0.856666666666667,0.625,0.833333333333333,0.714285714285714,0.856666666666667,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
243,tt_wilcoxon_premed,122,True,minmax,True,91,31,mlp,balanced_accuracy,0.838707345286293,0.176476070067221,0.870967741935484,0.856666666666667,0.625,0.833333333333333,0.714285714285714,0.856666666666667,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
41,reduced,122,True,minmax,True,91,31,knn,recall,0.936813186813187,0.108646812820248,0.870967741935484,0.92,0.6,1,0.75,0.92,{'clf__algorithm': 'auto', 'clf__n_neighbors': 5, 'clf__p': 3, 'clf__weights': 'uniform'},,
42,reduced,122,True,minmax,True,91,31,knn,f1,0.737354952739568,0.175318632442531,0.870967741935484,0.92,0.6,1,0.75,0.92,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 3, 'clf__p': 3, 'clf__weights': 'distance'},,
50,reduced,122,True,minmax,True,91,31,svm,precision,0.627899877899878,0.260151352300223,0.870967741935484,0.92,0.6,1,0.75,0.92,{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
68,reduced,122,True,minmax,True,91,31,mlp,balanced_accuracy,0.88194042799306,0.081481421287836,0.870967741935484,0.92,0.6,1,0.75,0.92,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
103,tt_0,122,True,minmax,True,91,31,mlp,balanced_accuracy,0.85200983227299,0.131760912444791,0.870967741935484,0.92,0.6,1,0.75,0.92,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
132,tt_35,122,True,minmax,True,91,31,random_forest,f1,0.801887001887002,0.152021443578383,0.870967741935484,0.92,0.6,1,0.75,0.92,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
133,tt_35,122,True,minmax,True,91,31,random_forest,balanced_accuracy,0.921847888953152,0.078456852662995,0.870967741935484,0.92,0.6,1,0.75,0.92,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
138,tt_35,122,True,minmax,True,91,31,mlp,balanced_accuracy,0.832056101792944,0.13696099693553,0.870967741935484,0.92,0.6,1,0.75,0.92,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
202,tt_35_premed,122,True,minmax,True,91,31,random_forest,f1,0.801887001887002,0.152021443578383,0.870967741935484,0.92,0.6,1,0.75,0.92,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
212,tt_wilcoxon_premed,122,True,minmax,True,91,31,gaussian_nb,f1,0.554683411826269,0.359091049620984,0.870967741935484,0.92,0.6,1,0.75,0.92,{'clf__var_smoothing': 1e-09},,,,,
45,reduced,122,True,minmax,True,91,31,ada,precision,0.740031397174254,0.264250451890157,0.838709677419355,0.773333333333333,0.571428571428571,0.666666666666667,0.615384615384615,0.773333333333333,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.1, 'clf__n_estimators': 100},,,
