,baseline,model,accuracy,bal_accuracy,precision,recall,f1_score,roc_auc
0,tree,sub,0.5993589743589745,0.5276515151515151,0.19092261904761904,0.41666666666666663,0.2496031746031746,0.5499999999999999
1,forest,sub,0.811698717948718,0.628219696969697,0.38541666666666663,0.35416666666666663,0.35416666666666663,0.5999999999999999
2,tree,div,0.6298076923076923,0.4795454545454545,0.13541666666666666,0.25,0.17291666666666666,0.35
3,forest,div,0.7355769230769231,0.5176136363636363,0.1875,0.1875,0.16666666666666666,0.45
