,baseline,model,accuracy,bal_accuracy,precision,recall,f1_score,roc_auc
0,tree,sub,0.5881410256410257,0.4696969696969697,0.16369047619047616,0.29166666666666663,0.20515873015873015,0.25
1,forest,sub,0.7251602564102564,0.5009469696969697,0.14583333333333331,0.16666666666666666,0.15000000000000002,0.4
2,tree,div,0.7067307692307692,0.5157196969696969,0.29166666666666663,0.22916666666666666,0.24583333333333335,0.45
3,forest,div,0.7451923076923077,0.4988636363636364,0.16666666666666666,0.125,0.13333333333333333,0.45
