,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
67,reduced,150,True,minmax,True,112,38,mlp,f1,0.81578947368421,0.822916666666667,0.454545454545455,0.833333333333333,0.588235294117647,0.822916666666667,{'clf__activation': 'relu', 'clf__alpha': 0.005, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'adam'},
132,tt_all,150,True,minmax,True,112,38,random_forest,f1,0.81578947368421,0.822916666666667,0.454545454545455,0.833333333333333,0.588235294117647,0.822916666666667,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
167,descr_react,150,True,minmax,True,112,38,random_forest,f1,0.81578947368421,0.822916666666667,0.454545454545455,0.833333333333333,0.588235294117647,0.822916666666667,{'clf__bootstrap': False, 'clf__max_depth': 8, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 80}
35,reduced,150,True,minmax,True,112,38,gaussian_nb,precision,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__var_smoothing': 5e-08},,,,,
36,reduced,150,True,minmax,True,112,38,gaussian_nb,recall,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__var_smoothing': 1e-09},,,,,
37,reduced,150,True,minmax,True,112,38,gaussian_nb,f1,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__var_smoothing': 1e-09},,,,,
38,reduced,150,True,minmax,True,112,38,gaussian_nb,balanced_accuracy,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__var_smoothing': 1e-09},,,,,
39,reduced,150,True,minmax,True,112,38,gaussian_nb,roc_auc,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__var_smoothing': 2e-09},,,,,
43,reduced,150,True,minmax,True,112,38,knn,balanced_accuracy,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'uniform'},,
50,reduced,150,True,minmax,True,112,38,svm,precision,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__C': 1, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
52,reduced,150,True,minmax,True,112,38,svm,f1,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__C': 0.1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
53,reduced,150,True,minmax,True,112,38,svm,balanced_accuracy,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__C': 100, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'},,,
68,reduced,150,True,minmax,True,112,38,mlp,balanced_accuracy,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
70,tt_clear,150,True,minmax,True,112,38,gaussian_nb,precision,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__var_smoothing': 5e-08},,,,,
72,tt_clear,150,True,minmax,True,112,38,gaussian_nb,f1,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__var_smoothing': 1e-08},,,,,
73,tt_clear,150,True,minmax,True,112,38,gaussian_nb,balanced_accuracy,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__var_smoothing': 2e-09},,,,,
75,tt_clear,150,True,minmax,True,112,38,knn,precision,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'},,
88,tt_clear,150,True,minmax,True,112,38,svm,balanced_accuracy,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__C': 1000, 'clf__gamma': 0.0001, 'clf__kernel': 'rbf'},,,
89,tt_clear,150,True,minmax,True,112,38,svm,roc_auc,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
102,tt_clear,150,True,minmax,True,112,38,mlp,f1,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
104,tt_clear,150,True,minmax,True,112,38,mlp,roc_auc,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
105,tt_all,150,True,minmax,True,112,38,gaussian_nb,precision,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__var_smoothing': 1e-09},,,,,
137,tt_all,150,True,minmax,True,112,38,mlp,f1,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__activation': 'relu', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (32,8, 32), 'clf__solver': 'sgd'}
142,descr_react,150,True,minmax,True,112,38,gaussian_nb,f1,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__var_smoothing': 2e-09},,,,,
143,descr_react,150,True,minmax,True,112,38,gaussian_nb,balanced_accuracy,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__var_smoothing': 2e-09},,,,,
0,all_columns,150,True,minmax,True,112,38,gaussian_nb,precision,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__var_smoothing': 2e-09},,,,,
10,all_columns,150,True,minmax,True,112,38,ada,precision,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 100},,,
11,all_columns,150,True,minmax,True,112,38,ada,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
12,all_columns,150,True,minmax,True,112,38,ada,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
13,all_columns,150,True,minmax,True,112,38,ada,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
19,all_columns,150,True,minmax,True,112,38,svm,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__C': 50, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
45,reduced,150,True,minmax,True,112,38,ada,precision,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
46,reduced,150,True,minmax,True,112,38,ada,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
47,reduced,150,True,minmax,True,112,38,ada,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
48,reduced,150,True,minmax,True,112,38,ada,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
49,reduced,150,True,minmax,True,112,38,ada,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 100},,,
55,reduced,150,True,minmax,True,112,38,decision_tree,precision,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__splitter': 'best'}
57,reduced,150,True,minmax,True,112,38,decision_tree,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 3, 'clf__splitter': 'best'}
61,reduced,150,True,minmax,True,112,38,random_forest,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 80}
62,reduced,150,True,minmax,True,112,38,random_forest,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
63,reduced,150,True,minmax,True,112,38,random_forest,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
64,reduced,150,True,minmax,True,112,38,random_forest,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': True, 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
80,tt_clear,150,True,minmax,True,112,38,ada,precision,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
81,tt_clear,150,True,minmax,True,112,38,ada,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
82,tt_clear,150,True,minmax,True,112,38,ada,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 50},,,
