subject,subject_card,card,lower_mean,lower_descr,,ppre,rpre,dpre,pple,rple,dple,,threshold,10.00
10.00,minion,pig,FALSE,FALSE,,81.60,56.75,91.87,75.18,57.46,88.33,,,
10.00,minion,hedge,FALSE,FALSE,,93.91,74.19,89.83,93.12,77.85,84.62,,,
10.00,minion,aliens,FALSE,FALSE,,91.58,43.28,91.36,89.67,43.82,87.35,,,
11.00,pig,unicorn,FALSE,FALSE,,98.46,99.05,97.60,100.00,98.77,97.73,,,
11.00,pig,pepper,FALSE,FALSE,,98.09,93.74,98.96,98.09,92.85,99.99,,,
11.00,pig,minion,FALSE,FALSE,,100.10,100.04,96.97,100.10,100.04,97.06,,,
11.00,pig,pig,FALSE,FALSE,,99.44,98.14,97.53,99.44,98.34,97.79,,,
11.00,pig,hedge,FALSE,FALSE,,98.07,98.77,98.81,98.07,99.86,99.13,,,
11.00,pig,aliens,FALSE,FALSE,,95.75,97.62,96.34,96.21,97.11,96.72,,,
12.00,pig,unicorn,FALSE,FALSE,,66.93,99.93,13.83,65.15,99.93,13.83,,,
12.00,pig,pepper,FALSE,FALSE,,96.98,100.22,20.42,95.72,100.22,20.42,,,
12.00,pig,minion,FALSE,FALSE,,100.00,90.32,67.91,100.00,90.78,67.91,,,
12.00,pig,pig,FALSE,FALSE,,66.70,99.18,13.33,66.26,99.18,13.33,,,
12.00,pig,hedge,TRUE,TRUE,,87.87,99.90,7.09,87.87,99.90,7.09,,,
12.00,pig,aliens,TRUE,TRUE,,99.88,71.70,7.17,99.88,74.79,7.17,,,
13.00,unicorn,unicorn,FALSE,FALSE,,52.79,19.43,80.12,67.76,19.43,79.30,,,
13.00,unicorn,pepper,TRUE,FALSE,,76.52,0.00,94.02,76.52,0.00,93.61,,,
13.00,unicorn,minion,TRUE,TRUE,,68.72,61.77,9.70,68.72,61.77,9.32,,,
13.00,unicorn,pig,TRUE,FALSE,,87.84,9.17,97.38,87.56,9.17,97.26,,,
13.00,unicorn,hedge,FALSE,FALSE,,93.09,49.86,86.04,92.42,49.86,85.85,,,
13.00,unicorn,aliens,TRUE,FALSE,,80.85,0.00,88.97,79.42,0.00,88.64,,,
14.00,aliens,unicorn,FALSE,FALSE,,97.99,74.87,99.37,95.68,74.87,99.30,,,
14.00,aliens,pepper,FALSE,FALSE,,54.76,79.72,96.15,54.21,78.04,95.64,,,
14.00,aliens,minion,FALSE,FALSE,,98.29,64.11,97.32,93.67,62.56,97.19,,,
14.00,aliens,pig,FALSE,FALSE,,88.09,75.17,98.96,83.83,75.17,98.71,,,
14.00,aliens,hedge,FALSE,FALSE,,98.30,69.14,99.03,95.36,72.91,97.58,,,
14.00,aliens,aliens,TRUE,FALSE,,4.46,63.61,99.48,3.35,62.74,98.11,,,
15.00,pig,unicorn,FALSE,FALSE,,75.95,40.91,79.43,75.41,40.13,76.73,,,
15.00,pig,pepper,FALSE,FALSE,,81.11,56.24,92.77,81.11,55.67,88.98,,,
15.00,pig,minion,FALSE,FALSE,,93.27,76.03,82.52,91.77,75.41,78.29,,,
15.00,pig,pig,FALSE,FALSE,,99.03,78.47,94.48,95.87,77.32,92.89,,,
15.00,pig,hedge,FALSE,FALSE,,98.32,54.93,88.22,97.48,55.21,87.51,,,
15.00,pig,aliens,FALSE,FALSE,,98.25,79.77,80.69,98.25,78.65,77.97,,,
16.00,pig,unicorn,TRUE,TRUE,,61.16,27.25,6.11,79.98,32.40,6.11,,,
16.00,pig,pepper,FALSE,FALSE,,43.75,22.06,23.98,79.73,22.06,96.44,,,
16.00,pig,minion,FALSE,FALSE,,45.91,36.29,20.68,56.21,54.85,66.26,,,
16.00,pig,pig,TRUE,FALSE,,49.91,1.76,71.02,97.40,9.69,78.78,,,
16.00,pig,hedge,FALSE,FALSE,,28.04,36.61,25.96,59.87,40.05,77.50,,,
16.00,pig,aliens,TRUE,FALSE,,57.64,0.00,74.43,65.41,0.00,79.27,,,
17.00,aliens,unicorn,FALSE,FALSE,,68.67,54.49,57.60,69.29,56.38,57.60,,,
17.00,aliens,pepper,FALSE,FALSE,,86.46,39.26,52.99,89.85,40.00,54.20,,,
17.00,aliens,minion,FALSE,FALSE,,68.72,49.31,52.09,69.10,48.33,52.71,,,
17.00,aliens,pig,FALSE,FALSE,,71.14,31.09,42.68,76.40,30.89,42.44,,,
17.00,aliens,hedge,TRUE,TRUE,,89.09,36.59,5.49,91.62,36.59,6.01,,,
17.00,aliens,aliens,FALSE,FALSE,,89.86,36.93,56.71,91.42,38.52,54.94,,,
18.00,unicorn,unicorn,FALSE,FALSE,,92.13,95.19,93.10,92.13,91.99,94.00,,,
18.00,unicorn,pepper,FALSE,FALSE,,91.83,82.68,78.28,91.40,81.51,77.78,,,
18.00,unicorn,minion,FALSE,FALSE,,86.36,70.25,67.47,88.38,70.25,68.96,,,
18.00,unicorn,pig,FALSE,FALSE,,100.00,81.00,70.80,100.00,81.45,70.93,,,
18.00,unicorn,hedge,FALSE,FALSE,,84.23,80.49,79.55,87.69,80.80,79.18,,,
18.00,unicorn,aliens,FALSE,FALSE,,78.59,61.24,52.93,77.42,61.24,55.85,,,
19.00,unicorn,unicorn,TRUE,TRUE,,46.71,0.00,8.26,48.10,0.54,16.09,,,
19.00,unicorn,pepper,TRUE,TRUE,,97.16,41.65,0.00,97.48,41.65,0.00,,,
19.00,unicorn,minion,TRUE,TRUE,,95.37,56.49,7.52,95.63,56.79,7.18,,,
19.00,unicorn,pig,TRUE,TRUE,,95.68,8.97,0.00,96.44,8.97,0.00,,,
19.00,unicorn,hedge,FALSE,FALSE,,88.31,57.35,28.44,88.48,57.35,28.44,,,
19.00,unicorn,aliens,FALSE,FALSE,,91.29,70.13,86.38,92.26,75.85,89.42,,,
20.00,aliens,unicorn,FALSE,FALSE,,100.00,79.11,93.41,100.00,79.23,92.65,,,
20.00,aliens,pepper,FALSE,FALSE,,99.98,66.80,97.92,99.98,66.41,96.97,,,
20.00,aliens,minion,FALSE,FALSE,,99.54,97.89,97.72,99.54,97.29,97.38,,,
20.00,aliens,pig,FALSE,FALSE,,99.68,98.04,99.28,99.68,97.27,98.78,,,
20.00,aliens,hedge,FALSE,FALSE,,96.59,98.38,96.14,96.92,98.48,94.42,,,
20.00,aliens,aliens,FALSE,FALSE,,99.53,99.21,97.66,99.28,98.65,96.07,,,
21.00,minion,unicorn,FALSE,FALSE,,100.37,99.07,34.40,100.37,100.93,34.63,,,
21.00,minion,pepper,FALSE,FALSE,,100.34,inf,69.76,100.34,inf,70.03,,,
21.00,minion,minion,FALSE,FALSE,,100.00,97.97,68.17,100.00,97.97,68.55,,,
21.00,minion,pig,FALSE,FALSE,,99.13,101.32,89.94,99.13,101.32,92.35,,,
21.00,minion,hedge,FALSE,FALSE,,95.55,98.65,92.59,96.14,98.65,93.17,,,
21.00,minion,aliens,FALSE,FALSE,,94.80,99.16,93.04,95.66,99.16,93.17,,,
22.00,pig,unicorn,FALSE,FALSE,,85.88,79.48,58.79,87.90,79.48,58.79,,,
22.00,pig,pepper,TRUE,TRUE,,55.06,46.68,0.79,49.87,46.32,0.00,,,
