subject,card_class,rt_right_mean,rt_left_mean,rt_mean_pupil,label
0,aliens,0.1125614407284687,0.12296091963429258,0.11776118018138064,0
0,minion,0.24633774033019523,0.3409437579232513,0.2936407491267233,1
0,pepper,0.18565135081837877,0.28985225018272986,0.23775180050055433,0
0,pig,-0.007390596644143593,-0.006175217082695816,-0.006782906863419704,0
0,hedge,-0.06124521889598145,-0.03596091300998013,-0.04860306595298079,0
0,unicorn,-0.03257592190889395,0.0028252025287932997,-0.014875359690050324,0
1,pepper,0.15180583710089007,0.15405187835420436,0.15292885772754722,0
1,aliens,0.17805793423397634,0.19774887580120182,0.18790340501758906,0
1,hedge,0.2846492420182228,0.29659353458071397,0.2906213882994684,1
1,unicorn,0.27524335248382853,0.22936426478666955,0.25230380863524904,0
1,pig,0.2222017275394583,0.2248435011150052,0.22352261432723175,0
1,minion,0.1330683669791458,0.1505768968255942,0.14182263190237,0
2,hedge,-0.12965148850237757,-0.21863803161153617,-0.17414476005695687,0
2,pig,-0.0321429976672942,-0.24709054709141234,-0.13961677237935327,0
2,aliens,-0.05959511077158126,-0.3012215014551698,-0.18040830611337552,0
2,pepper,-0.07114329942503309,-0.16587567867035966,-0.11850948904769637,0
2,minion,-0.37665804783451823,0.12481355209887106,-0.12592224786782358,1
2,unicorn,-0.11893395374678783,-0.3841448678595489,-0.25153941080316833,0
3,pig,0.2153279004205626,0.1551928925086755,0.18526039646461906,0
3,minion,0.11666543886220977,0.08935647610905507,0.10301095748563242,0
3,pepper,0.12994675379147405,0.1288777651705812,0.12941225948102764,0
3,hedge,0.2448452600511431,0.2919476312058237,0.2683964456284834,1
3,aliens,0.1897844885746968,0.1301069536797026,0.15994572112719968,0
3,unicorn,0.08095240726669861,0.1288108177703089,0.10488161251850375,0
4,aliens,0.07464209606986962,0.05465497260851206,0.06464853433919084,0
4,unicorn,0.07613944664031677,0.019988335001475763,0.048063890820896266,1
4,minion,0.15311652173913104,-0.04720920488066542,0.05295365842923281,0
4,pepper,0.026766402048656143,-0.09845578272810532,-0.03584469033972459,0
4,hedge,-0.09714148830616524,-0.25612501051697667,-0.17663324941157096,0
4,pig,-0.20135409395973095,-0.3551835390293269,-0.27826881649452895,0
5,pepper,0.060463015551047904,0.026272600638797296,0.0433678080949226,0
5,pig,0.16926301555104795,0.04404956052102035,0.10665628803603415,1
5,minion,0.13259634888438132,0.30883903420523084,0.22071769154480608,0
5,unicorn,0.10778865657668889,0.1769544188206155,0.14237153769865218,0
5,hedge,-0.010888499600467248,-0.05761194618692603,-0.03425022289369664,0
5,aliens,-0.0682925400045077,-0.07292692324157767,-0.07060973162304268,0
6,unicorn,0.28774268374854356,0.3534213912227493,0.3205820374856464,0
6,pepper,0.055866598679099155,0.12343316132466689,0.08964988000188302,0
6,minion,0.03390432390432436,0.0919415341727168,0.06292292903852058,0
6,aliens,0.1138994051925091,0.16062575377406862,0.13726257948328885,0
6,pig,0.27145687645687683,0.23370014365939643,0.25257851005813664,1
6,hedge,0.15567550617204245,0.1815633645859644,0.16861943537900342,0
7,pig,0.2515788330332518,0.2636769183964802,0.257627875714866,0
7,unicorn,0.24761072482271934,0.2800342937209912,0.26382250927185524,0
7,pepper,0.15654038506147047,0.1763792555713608,0.16645982031641565,0
7,hedge,0.08391574696349333,0.10932650127521439,0.09662112411935386,0
7,minion,0.03805529267979494,0.06716273246626954,0.05260901257303224,0
7,aliens,0.20467999490031696,0.2762709809543313,0.24047548792732412,1
8,aliens,0.26452737907255924,0.3430351935646052,0.30378128631858226,1
