subject,card_class,rt_right_mean,rt_left_mean,rt_mean_pupil,label
0,aliens,0.14145535726944405,0.18726660711393336,0.1643609821916887,0
0,minion,0.2727504150663792,0.38164717107236434,0.3271987930693718,1
0,pepper,0.16210222180368092,0.2408312125345073,0.2014667171690941,0
0,pig,0.022068238675047643,0.005164049879739167,0.013616144277393405,0
0,hedge,-0.026940786773758815,-0.0038716579911633247,-0.01540622238246107,0
0,unicorn,-0.02370605889519532,0.008494694674936954,-0.007605682110129183,0
1,pepper,0.2757460019614457,0.2808744088877377,0.27831020542459173,0
1,aliens,0.1736082491998466,0.18744484728761074,0.18052654824372866,0
1,hedge,0.21507353876394814,0.23862910668143272,0.22685132272269043,1
1,unicorn,0.2458029122253949,0.20757231104651205,0.22668761163595347,0
1,pig,0.20542425766231232,0.16120886902760215,0.18331656334495722,0
1,minion,0.13158768199824386,0.14642126937984537,0.13900447568904462,0
2,hedge,-0.0486542443064181,-0.15356455295137855,-0.10110939862889833,0
2,pig,-0.030379892288406936,-0.23245435241041273,-0.13141712234940983,0
2,aliens,-0.0849289804417341,-0.30267567867035966,-0.19380232955604687,0
2,pepper,-0.16383093435393947,-0.3176223453370264,-0.24072663984548293,0
2,minion,-0.03830743618201986,-0.11554549479482926,-0.07692646548842455,1
2,unicorn,-0.1942282092421088,-0.4402846011656338,-0.3172564052038713,0
3,pig,0.10799282284835345,0.06041977375114038,0.0842062982997469,0
3,minion,0.1328158959725987,0.10376599258130444,0.11829094427695158,0
3,pepper,0.08351974296972124,0.077894315342286,0.08070702915600361,0
3,hedge,0.20469864382583836,0.23342274315338685,0.2190606934896126,1
3,aliens,0.1911583626016862,0.14134514773113943,0.16625175516641283,0
3,unicorn,0.08173838741558201,0.12890933699648513,0.10532386220603357,0
4,aliens,0.03695421860885335,0.020052686420404985,0.028503452514629164,0
4,unicorn,0.07544296529968511,0.020805669472623568,0.04812431738615434,1
4,minion,0.1528190277777784,-0.04774686926031094,0.05253607925873373,0
4,pepper,0.026766402048656143,-0.09832662912308968,-0.035780113537216766,0
4,hedge,-0.09714148830616524,-0.25618293157818417,-0.1766622099421747,0
4,pig,-0.2013767292225195,-0.3553619072777708,-0.27836931825014516,0
5,pepper,0.27420444260110116,0.26750874038557537,0.2708565914933383,0
5,pig,0.08219405003380652,0.08554325955734354,0.08386865479557504,1
5,minion,0.1423509501113751,0.18927085238704908,0.1658109012492121,0
5,unicorn,0.19976301555104792,0.2552595949528944,0.22751130525197116,0
5,hedge,0.012087257975290316,-0.04534478932418089,-0.016628765674445285,0
5,aliens,-0.0682925400045077,-0.07292692324157767,-0.07060973162304268,0
6,unicorn,0.28604357247057216,0.35908939966499387,0.32256648606778304,0
6,pepper,0.1477328146467224,0.2438435558812262,0.1957881852639743,0
6,minion,0.08309193090015052,0.1793804169498834,0.13123617392501696,0
6,aliens,0.24478450202765317,0.2838525005996513,0.2643185013136522,0
6,pig,0.30887842767061285,0.33859839560695487,0.32373841163878386,1
6,hedge,0.18966012848939726,0.20651831585043745,0.19808922216991737,0
7,pig,0.21221094309653366,0.26180725492377876,0.2370090990101562,0
7,unicorn,0.19593341817215065,0.26393237806558273,0.2299328981188667,0
7,pepper,0.1320685464709618,0.20849142702116105,0.17027998674606143,0
7,hedge,0.07950803352890345,0.13062667627974037,0.10506735490432191,0
