subject	source	duration	card_class	show_order	fix_freq	sacc_freq	pd_right_mean	pd_right_std	pd_right_min	pd_right_max	pd_left_mean	pd_left_std	pd_left_min	pd_left_max	sre_fix_freq	sre_sacc_freq	sre_pd_right_mean	sre_pd_right_std	sre_pd_right_min	sre_pd_right_max	sre_pd_left_mean	sre_pd_left_std	sre_pd_left_min	sre_pd_left_max	srl_fix_freq	srl_sacc_freq	srl_pd_right_mean	srl_pd_right_std	srl_pd_right_min	srl_pd_right_max	srl_pd_left_mean	srl_pd_left_std	srl_pd_left_min	srl_pd_left_max	label
7	frontiers	4290	pig	6	2.097902097902098	2.331002331002331	0.11432520325202895	0.06070772379700599	-0.12967479674797122	0.2803252032520289	0.14872023809524046	0.10050543465488321	-0.15999999999999748	0.5200000000000027	3.0	5.0	0.1794428503108523	0.04882913536048615	0.10032520325202876	0.2803252032520289	0.21468750000000236	0.06932712311931026	0.12000000000000233	0.5200000000000027	5.0	3.0	0.07060298102980665	0.03686953836655488	-0.12967479674797122	0.130325203252029	0.07534722222222463	0.050989004634613096	-0.15999999999999748	0.21000000000000218	0
7	frontiers	4154	hedge	5	2.1665864227250844	2.1665864227250844	-0.004803001876176348	0.0499305011496474	-0.12967479674797122	0.11032520325202899	0.05708933717579491	0.07741040374858497	-0.18999999999999773	0.3200000000000025	3.0	3.0	0.026913438546146445	0.034556817988174074	-0.039674796747971364	0.11032520325202899	0.15111111111111358	0.052009614495783396	0.040000000000002256	0.3200000000000025	5.0	4.0	-0.008674796747971225	0.042104854731328904	-0.0796747967479714	0.09032520325202897	0.00140000000000238	0.05054109896474115	-0.18999999999999773	0.14000000000000234	0
7	frontiers	4081	aliens	4	1.9603038470962997	2.205341827983337	0.17082055928918052	0.09225472337272386	-0.1096747967479712	0.340325203252029	0.2295975232198166	0.16136690646834403	-0.18999999999999773	0.5300000000000025	3.0	2.0	0.23603948896631455	0.029269929594515756	0.19032520325202862	0.3103252032520287	0.39579710144927793	0.06193938681108876	0.2500000000000022	0.5300000000000025	4.0	5.0	0.09928353658536215	0.07786233817638478	-0.1096747967479712	0.33032520325202874	0.07993103448276102	0.08803011283807109	-0.18999999999999773	0.23000000000000265	1
8	frontiers	2113	unicorn	5	1.8930430667297682	3.312825366777094	0.09440807905862485	0.06316747720296209	-0.2580546075085395	0.17194539249146068	0.1297297591805691	0.0642207970749535	0.04318840579711036	0.40318840579711024	4.0	6.0	0.08394539249146064	0.05384374556223046	-0.13805460750853937	0.16194539249146045	0.14589673913044374	0.06726975024664224	0.05318840579711015	0.40318840579711024	4.0	5.0	0.10418539249146064	0.05109863958797662	-0.2580546075085395	0.17194539249146068	0.12223602484472941	0.052709446158024774	0.04318840579711036	0.40318840579711024	0
8	frontiers	4320	pepper	4	1.3888888888888888	1.8518518518518516	0.08558175612782438	0.055298863080214	-0.1880546075085392	0.2219453924914605	0.07598170188649574	0.04510823286295461	-0.1368115942028898	0.37318840579711043	4.0	5.0	0.04804295346707042	0.04564371138546308	-0.08805460750853955	0.11194539249146063	0.07295852073963903	0.05346107063314807	-0.026811594202889477	0.37318840579711043	2.0	1.0	0.08054539249146067	0.032253817213350335	0.031945392491460556	0.16194539249146045	0.06992173913044364	0.03664626237232522	-0.006811594202889459	0.14318840579711045	0
8	frontiers	3523	minion	6	1.9869429463525403	3.9738858927050806	0.2864721414626541	0.07082222465212738	0.011945392491460538	0.4219453924914607	0.2378840579710234	0.07307138029740806	-0.17681159420288983	0.4631884057971103	3.0	8.0	0.2740666046126729	0.05820920621612781	0.10194539249146084	0.40194539249146066	0.24243571762506722	0.06589247761941884	0.12318840579711043	0.4631884057971103	3.0	3.0	0.27050209352238846	0.06482331259408228	0.17194539249146068	0.39194539249146043	0.21679665321979086	0.030488575968792148	0.13318840579711022	0.3131884057971104	0
8	frontiers	4010	pig	3	1.4962593516209477	1.745635910224439	0.0461492141475117	0.0906006043363678	-0.1880546075085392	0.21194539249146072	0.07237079573421729	0.09121312480590131	-0.24681159420288967	0.2631884057971101	2.0	3.0	0.09926246566219234	0.049914711962909794	-0.07805460750853932	0.16194539249146045	0.13873057447180914	0.04773537349853227	-0.01681159420288969	0.22318840579711052	4.0	3.0	-0.03858895865357758	0.057114096025132594	-0.1880546075085392	0.09194539249146061	-0.009050400173038904	0.06510421710056775	-0.24681159420288967	0.15318840579711024	0
8	frontiers	3727	hedge	2	1.8781862087469816	3.48806010195868	0.04625407416348641	0.0997064460102672	-0.16805460750853918	0.27194539249146077	0.05116917502787947	0.10727894170417807	-0.17681159420288983	0.3631884057971102	2.0	8.0	0.09899084703691523	0.05112884537788888	-0.028054607508539497	0.27194539249146077	0.14330076534767205	0.06798218988058694	0.03318840579711013	0.3631884057971102	5.0	4.0	-0.03425460750853938	0.07197753191566894	-0.16805460750853918	0.16194539249146045	-0.03721159420288965	0.0729427466942534	-0.17681159420288983	0.10318840579711042	0
8	frontiers	3182	aliens	1	2.51414204902577	2.828409805153991	0.06700375825021557	0.08609642406268296	-0.09805460750853934	0.21194539249146072	0.0791114827201872	0.08454005610964	-0.20681159420288964	0.4631884057971103	3.0	4.0	0.10524209578816386	0.07375718337980437	-0.06805460750853953	0.21194539249146072	0.12808202281838693	0.08046564325080445	-0.20681159420288964	0.4631884057971103	5.0	4.0	0.038769716815784866	0.08760639527304866	-0.09805460750853934	0.1919453924914607	0.04555327066197512	0.0751901126667513	-0.09681159420288976	0.19318840579711027	1
10	frontiers	4401	unicorn	6	1.8177686889343332	2.2722108611679164	-0.6845117708333291	0.10641055259747406	-0.9658984374999964	-0.4658984374999964	-0.6952263993316612	0.09176182543183417	-0.9905158730158719	-0.4505158730158718	3.0	5.0	-0.7125276509831422	0.11300587092778447	-0.8958984374999961	-0.5058984374999964	-0.7727499155690629	0.0891917621843327	-0.9905158730158719	-0.5705158730158715	4.0	3.0	-0.5902432650862033	0.05386214132578861	-0.7158984374999964	-0.4658984374999964	-0.6378951833606988	0.060816443884391114	-0.7405158730158719	-0.4505158730158718	0
