subject,subject_card,card,whole_right,point_right,react_right,point_react_right,descr_right,whole_left,point_left,react_left,point_react_left,descr_left,whole_dur,point_dur,react_dur,point_react_dur,descr_dur,whole_exp,point_exp,react_exp,point_react_exp,descr_exp,whole_perc_right_exp,point_perc_right_exp,react_perc_right_exp,point_react_perc_right_exp,descr_perc_right_exp,whole_perc_left_exp,point_perc_left_exp,react_perc_left_exp,point_react_perc_left_exp,descr_perc_left_exp,whole_right_mean,point_right_mean,react_right_mean,point_right_react_mean,descr_right_mean,whole_left_mean,point_left_mean,react_left_mean,point_left_react_mean,descr_left_mean,whole_perc_right_mean,point_perc_right_mean,react_perc_right_mean,point_react_perc_right_mean,descr_perc_right_mean,whole_perc_left_mean,point_perc_left_mean,react_perc_left_mean,point_react_perc_left_mean,descr_perc_left_mean
3,hedge,hedge,1158,300,197,497,661,1180,300,209,509,671,12106,3000,2125,5125,6981,1210.6,300.0,212.5,512.5,698.1,95.65504708409054,100.0,92.70588235294117,96.97560975609755,94.6855751325025,97.47232777135305,100.0,98.3529411764706,99.3170731707317,96.1180346655207,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,82.5163628686044,21.37729607994933,14.037757759166725,35.415053839116055,47.101309029488355,159.13158573842682,40.45718281485428,28.185170694348482,68.64235350920276,90.48923222922407
3,hedge,aliens,975,339,182,521,454,1003,339,182,521,482,10638,3411,1817,5228,5410,1063.8,341.1,181.7,522.8,541.0,91.65256627185562,99.38434476693051,100.16510731975785,99.6557000765111,83.91866913123845,94.28463996991916,99.38434476693051,100.16510731975785,99.6557000765111,89.09426987060998,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,69.47621225983532,24.156344570342743,12.96889295516926,37.125237525512,32.350974734323316,135.2618478776628,45.716616580785335,24.544024241011595,70.26064082179693,65.00120705586588
4,unicorn,unicorn,1110,198,257,455,655,1049,143,200,343,706,18276,2805,3579,6384,11892,1827.6,280.5,357.9,638.4,1189.2,60.73539067629679,70.58823529411765,71.8077675328304,71.27192982456141,55.07904473595694,57.3976800175093,50.98039215686274,55.881531153953624,53.7280701754386,59.367642112344434,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,79.09599549581252,14.109015412766556,18.31321697515659,32.42223238792315,46.673763107889364,141.46528257594048,19.28459047508054,26.97145520990285,46.25604568498339,95.20923689095707
4,unicorn,pepper,749,117,91,208,541,651,115,92,207,444,11185,1566,1554,3120,8065,1118.5,156.6,155.4,312.0,806.5,66.9646848457756,74.71264367816092,58.55855855855856,66.66666666666666,67.07997520148791,58.202950379973174,73.43550446998724,59.202059202059196,66.34615384615384,55.05269683818971,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,53.371982546273486,8.337145471180238,6.48444647758463,14.821591948764867,38.550390597508624,87.79208670823378,15.508586745694139,12.406869396555312,27.91545614224945,59.876630565984335
4,unicorn,minion,571,210,113,323,248,491,168,83,251,240,8293,3087,1597,4684,3609,829.3,308.7,159.7,468.4,360.9,68.85324972868685,68.02721088435374,70.75767063243582,68.95815542271563,68.7170961485176,59.20655974918606,54.421768707483,51.9724483406387,53.586678052946205,66.50041562759768,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,40.68812020550356,14.964107255964528,8.052114856780914,23.016222112745442,17.671898092758113,66.2149225403115,22.656022376318397,11.193153912109684,33.849176288428076,32.36574625188342
4,unicorn,pig,872,126,139,265,607,782,112,130,242,540,12413,1761,2021,3782,8631,1241.3,176.1,202.1,378.2,863.1,70.24893257069202,71.55025553662692,68.77783275606136,70.06874669487044,70.32788784613602,62.998469346652705,63.60022714366838,64.32459178624444,63.98730830248546,62.56517205422315,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,62.13667393905271,8.978464353578717,9.904813850376522,18.88327820395524,43.25339573509748,105.45838987072015,15.104014917545596,17.531445886436853,32.635460803982454,72.8229290667377
4,unicorn,hedge,1324,166,144,310,1015,1054,133,112,245,809,18143,2500,2143,4643,13500,1814.3,250.0,214.3,464.3,1350.0,72.97580334013118,66.4,67.19552029864676,66.76717639457247,75.18518518518519,58.09403075566334,53.2,52.26318245450303,52.76760715054921,59.925925925925924,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,94.34513336617637,11.828770497571963,10.261102118375678,22.08987261594764,72.32651840382857,142.13956895618801,17.936017714585397,15.104014917545596,33.040032632130995,109.09953632405704
4,unicorn,aliens,687,253,236,489,198,701,220,268,488,214,10380,3435,4184,7619,2761,1038.0,343.5,418.4,761.9,276.1,66.1849710982659,73.65356622998544,56.40535372848948,64.1816511353196,71.71314741035856,67.53371868978806,64.04657933042213,64.05353728489484,64.05040031500197,77.50814922129663,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,48.95400802308396,18.028186360757267,16.816806249560138,34.844992610317405,14.109015412766556,94.53495051070949,29.668600730893136,36.141749981269825,65.81035071216296,28.85945707459605
5,pig,unicorn,468,261,190,451,17,475,268,190,458,17,6722,2673,2158,4831,1891,672.2,267.3,215.8,483.1,189.1,69.62213626896757,97.64309764309765,88.04448563484708,93.35541295797971,8.98995240613432,70.66349300803331,100.26187803965581,88.04448563484708,94.80438832539846,8.98995240613432,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,33.34858188472095,18.598247589555918,13.538954183967908,32.13720177352383,1.2113801111971287,64.05720612351928,36.141749981269825,25.622882449407708,61.76463243067754,2.2925736928417426
5,pig,pepper,1147,239,806,1045,102,1212,255,861,1116,96,16178,3723,9563,13286,2892,1617.8,372.3,956.3,1328.6,289.2,70.8987513907776,64.1955412301907,84.28317473596152,78.65422248983893,35.26970954356847,74.91655334404747,68.4931506849315,90.03450799958172,83.9981935872347,33.19502074688796,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,81.73252867900626,17.03057921035963,57.43366880146387,74.4642480118235,7.268280667182772,163.4470185720113,34.38860539262614,116.11211467863178,150.50072007125792,12.94629850075337
5,pig,minion,284,169,113,282,2,311,177,129,306,5,5406,2446,2148,4594,812,540.6,244.6,214.8,459.4,81.2,52.53422123566407,69.09239574816026,52.60707635009311,61.38441445363518,2.463054187192118,57.52867184609693,72.36304170073589,60.05586592178771,66.60861993905094,6.157635467980295,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,20.23717362235203,12.042543458371455,8.052114856780914,20.09465831515237,0.14251530719966218,41.94061285139893,23.869737860764022,17.39658861038734,41.266326471151366,0.6742863802475713
5,pig,pig,367,277,90,367,0,507,313,194,507,0,7863,3228,2219,5447,2416,786.3,322.8,221.9,544.7,241.6,46.674297341981436,85.81164807930607,40.558810274898605,67.37653754360198,0.0,64.47920640976726,96.96406443618339,87.42676881478143,93.07875894988065,0.0,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,26.151558871138015,19.738370047153214,6.4131888239847985,26.151558871138015,0.0,68.37263895710373,42.21032740349796,26.162311553605765,68.37263895710373,0.0
5,pig,hedge,384,200,137,337,47,376,206,137,343,33,6356,2822,2118,4940,1416,635.6,282.2,211.8,494.0,141.6,60.41535556954059,70.87172218284906,64.68366383380547,68.21862348178138,33.19209039548023,59.156702328508494,72.99787384833452,64.68366383380547,69.4331983805668,23.305084745762713,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,27.362938982335137,14.251530719966219,9.76229854317686,24.01382926314308,3.349109719192062,50.70633579461736,27.78059886619994,18.475446818783453,46.25604568498339,4.45029010963397
5,pig,aliens,125,80,45,125,0,142,95,47,142,0,5356,2356,1644,4000,1356,535.6,235.6,164.4,400.0,135.6,23.338312173263628,33.95585738539898,27.37226277372263,31.25,0.0,26.512322628827484,40.322580645161295,28.588807785888076,35.5,0.0,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,8.907206699978886,5.700612287986488,3.2065944119923993,8.907206699978886,0.0,19.149733199031026,12.811441224703854,6.33829197432717,19.149733199031026,0.0
6,pig,unicorn,1595,400,793,1193,402,1592,400,799,1199,393,18574,4960,9026,13986,4588,1857.4,496.0,902.6,1398.6,458.8,85.87272531495638,80.64516129032258,87.85730113006869,85.2995852995853,87.61987794245859,85.71120921718531,80.64516129032258,88.52204741856858,85.72858572858574,85.65823888404533,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,113.6559574917306,28.503061439932438,56.50731930466606,85.0103807445985,28.6455767471321,214.69278347082673,53.9429104198057,107.75096356356188,161.6938739833676,52.9989094874591
6,pig,pepper,945,378,511,889,56,939,377,507,884,55,15307,3770,7081,10851,4456,1530.7,377.0,708.1,1085.1,445.6,61.73646044293461,100.26525198938991,72.16494845360825,81.92793290940928,12.567324955116696,61.34448291631279,100.0,71.60005648919643,81.46714588517187,12.342908438061041,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,67.33848265184038,26.935393060736157,36.41266098951369,63.34805405024985,3.9904286015905415,126.6309822104939,50.841193070666876,68.37263895710373,119.21383202777061,7.417150182723284
6,pig,minion,1147,366,572,938,209,1117,361,558,919,198,15381,3660,8282,11942,3439,1538.1,366.0,828.2,1194.2,343.9,74.57252454326768,100.0,69.06544312967881,78.54630715123095,60.773480662983424,72.6220661855536,98.63387978142076,67.37503018594542,76.95528387204823,57.574876417563246,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,81.73252867900626,26.08030121753818,40.75937785910339,66.83967907664157,14.892849602364699,150.63557734730745,48.68347665387465,75.25036003562896,123.9338366895036,26.701740657803825
6,pig,pig,1241,232,748,980,261,1227,232,746,978,249,15140,2345,7489,9834,5306,1514.0,234.5,748.9,983.4,530.6,81.96829590488771,98.93390191897655,99.87982374148751,99.65426072808623,49.189596683000374,81.04359313077939,98.93390191897655,99.61276538923755,99.45088468578402,46.928006030908406,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,88.4307481173904,16.531775635160812,53.30072489267366,69.83250052783447,18.598247589555918,165.469877712754,31.28688804348731,100.60352793293762,131.89041597642495,33.57946173632905
6,pig,hedge,1275,250,643,893,382,1244,250,640,890,354,16223,2501,6425,8926,7297,1622.3,250.1,642.5,892.6,729.7,78.59212229550639,99.96001599360255,100.07782101167315,100.04481290611696,52.350280937371515,76.68125500832153,99.96001599360255,99.61089494163424,99.70871611023975,48.51308757023434,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,90.85350833978465,17.814413399957772,45.818671264691396,63.63308466464916,27.22042367513548,167.76245140559573,33.71431901237856,86.30865667168912,120.0229756840677,47.739475721528045
6,pig,aliens,1430,356,821,1177,253,1433,356,821,1177,256,16700,3558,8350,11908,4792,1670.0,355.8,835.0,1190.8,479.2,85.62874251497006,100.05621135469364,98.32335329341318,98.84111521666107,52.79632721202003,85.80838323353294,100.05621135469364,98.32335329341318,98.84111521666107,53.42237061769616,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,101.89844464775845,25.367724681539872,58.50253360546132,83.87025828700119,18.028186360757267,193.25047657895394,48.00919027362708,110.71782363665122,158.7270139102783,34.523462668675656
7,aliens,unicorn,1944,627,1037,1664,280,1925,620,1025,1645,280,24396,6888,14707,21595,2801,2439.6,688.8,1470.7,2159.5,280.1,79.68519429414658,91.02787456445994,70.51064119126946,77.05487381338273,99.96429846483397,78.90637809476964,90.01161440185831,69.69470320255661,76.17504051863857,99.96429846483397,1403.358024691358,297.01234567901236,362.9259259259259,659.8703703703703,743.574074074074,1408.5123456790122,299.75925925925924,367.38271604938274,667.074074074074,741.5246913580247,138.52487859807167,44.678548807094096,73.89418678302485,118.57273559011894,19.952143007952706,259.60025639531494,83.61151115069883,138.22870795075212,221.84021910145097,37.76003729386399
