subject	duration	card_class	show_order	fix_freq	sacc_freq	pupil_diam_right_mean	pupil_diam_right_std	pupil_diam_right_min	pupil_diam_right_max	pupil_diam_left_mean	pupil_diam_left_std	pupil_diam_left_min	pupil_diam_left_max	sre_fix_freq	sre_sacc_freq	sre_pupil_diam_right_mean	sre_pupil_diam_right_std	sre_pupil_diam_right_min	sre_pupil_diam_right_max	sre_pupil_diam_left_mean	sre_pupil_diam_left_std	sre_pupil_diam_left_min	sre_pupil_diam_left_max	srl_fix_freq	srl_sacc_freq	srl_pupil_diam_right_mean	srl_pupil_diam_right_std	srl_pupil_diam_right_min	srl_pupil_diam_right_max	srl_pupil_diam_left_mean	srl_pupil_diam_left_std	srl_pupil_diam_left_min	srl_pupil_diam_left_max	label
5	6149	5	1	47.812652463815255	5.691982436168483	0.9725103097548203	0.06953321529013766	0.8769775844529415	1.1488406356333534	1.005239928080426	0.07284061923123937	0.9054719874702272	1.1665089568310134	196.0	23.333333333333332	3.6261467889908245	0.18027709256956265	3.19	3.93	4.0581651376146795	0.12379915886759278	3.76	4.29	196.0	23.333333333333332	3.1161333333333325	0.06189172909003204	3.0	3.22	3.4450666666666643	0.057014618008600804	3.33	3.54	0
5	3930	3	2	48.346055979643765	7.379134860050891	0.9972339477373336	0.030724482663785118	0.888670618912314	1.0406800668841572	1.0096088191823522	0.03899691508318416	0.9081911225677353	1.0577435529306858	0.0	126.66666666666667	3.04		3.04	3.04	3.39		3.39	3.39	126.66666666666667	19.333333333333332	3.4570229007633597	0.04964016141560179	3.25	3.56	3.7851908396946556	0.061473585885298596	3.55	3.89	1
5	3559	2	3	37.651025568980046	5.338578252318067	0.9011807132329791	0.03662863338610844	0.8594380327638826	0.9763683773576082	0.9059111024549177	0.038783318319606075	0.8402127451300305	0.9870460403954728	0.0	0.0									89.33333333333333	12.666666666666666	3.0903333333333323	0.12631279309802193	2.94	3.34	3.345466666666667	0.13769232634312184	3.12	3.63	0
5	5599	4	6	41.078764065011605	3.7506697624575818	0.9515891930052247	0.016424467374641465	0.9179032050607454	0.9997544462763532	0.9556803921808565	0.01697132916313706	0.8973145821777025	0.9870460403954728	0.0	0.0									153.33333333333334	14.0	3.225000000000003	0.034732921543201206	3.16	3.3	3.5166	0.0576360951408685	3.3	3.61	0
5	4219	1	4	54.98933396539464	4.9774828158331355	0.9319119188934458	0.03879267722111991	0.8799008430677846	1.034833549654471	0.9348599730731003	0.03657728132493995	0.8728423663001289	1.0278330668580957	0.0	0.0									154.66666666666666	14.0	3.1004635761589423	0.051850268380460966	3.01	3.23	3.3604635761589403	0.06063373921444916	3.24	3.52	0
5	3880	0	5	59.27835051546392	4.381443298969073	0.9302708376620046	0.043606524171758865	0.8418984810748238	1.014370739350569	0.931870716068707	0.04727547251405029	0.8402127451300305	1.0251139317605875	153.33333333333334	0.0	3.14	0.039157800414902466	3.1	3.22	3.2599999999999993	0.02108185106778917	3.23	3.29	153.33333333333334	11.333333333333334	3.106666666666667	0.10727663960490977	2.88	3.35	3.367133333333335	0.1303445957703366	3.09	3.71	0
6	4507	5	5	0.0	0.0	0.8971311736465937	0.02715163037185411	0.8229137332206906	0.9431146156012409	0.9007869714335875	0.024836050491658643	0.8300561797752806	0.9614817415730332	0.0	0.0	2.8435526315789468	0.0630915514126029	2.68	2.94	2.5730263157894746	0.0695321457906026	2.4	2.78	0.0	0.0	2.9652054794520546	0.0346052978057589	2.91	3.02	2.639041095890412	0.06772420344393637	2.4	2.73	0
6	3939	3	2	30.464584920030465	4.061944656004062	0.9218811474127484	0.015243326834333033	0.8506523983854329	0.9800995024875642	0.9337423299640818	0.03091757292881642	0.8715589887640446	1.2727528089887636	80.0	10.666666666666666	2.9657547169811305	0.05793178440376968	2.76	3.18	2.7121698113207557	0.11919575509364849	2.55	3.68	0.0	0.0	3.025200000000001	0.03210455890839642	2.98	3.08	2.6837333333333326	0.05739322243943081	2.52	2.76	0
6	4069	2	3	27.27942983534038	3.4406488080609487	0.8977738838998606	0.03301332456019259	0.8136675114991099	0.9461966895084345	0.9140481299417393	0.025925358260441952	0.8300561797752806	0.9614817415730332	74.0	9.333333333333334	2.80869918699187	0.05763024236804121	2.64	2.94	2.5846341463414637	0.04984060960154701	2.4	2.7	0.0	0.0	2.981466666666666	0.031652391282079646	2.91	3.06	2.6531999999999996	0.04559397779105059	2.51	2.76	0
6	3750	4	6	0.0	0.0	0.924325501942415	0.03579210883524029	0.8444882505710458	0.9677712068587897	0.9303546348314589	0.028218581145148816	0.8508075842696625	0.9891502808988759	0.0	0.0	2.868108108108109	0.06373480319917425	2.74	3.0	2.612702702702703	0.0657995565063394	2.46	2.86	0.0	0.0	3.0865333333333345	0.027631422248872713	3.05	3.14	2.747200000000001	0.0376168449903368	2.61	2.8	1
