subject	duration	card_class	show_order	fix_freq	sacc_freq	pupil_diam_right_mean	pupil_diam_right_std	pupil_diam_right_min	pupil_diam_right_max	pupil_diam_left_mean	pupil_diam_left_std	pupil_diam_left_min	pupil_diam_left_max	sre_fix_freq	sre_sacc_freq	sre_pupil_diam_right_mean	sre_pupil_diam_right_std	sre_pupil_diam_right_min	sre_pupil_diam_right_max	sre_pupil_diam_left_mean	sre_pupil_diam_left_std	sre_pupil_diam_left_min	sre_pupil_diam_left_max	srl_fix_freq	srl_sacc_freq	srl_pupil_diam_right_mean	srl_pupil_diam_right_std	srl_pupil_diam_right_min	srl_pupil_diam_right_max	srl_pupil_diam_left_mean	srl_pupil_diam_left_std	srl_pupil_diam_left_min	srl_pupil_diam_left_max	label
5	6149	unicorn	1	47.812652463815255	5.691982436168483	-0.09403783197831947	0.2378620041931143	-0.42083999999999966	0.5091600000000005	0.019270569105698066	0.26788157490957476	-0.34763999999999307	0.6123600000000069	196.0	23.333333333333332	3.6261467889908245	0.18027709256956265	3.19	3.93	4.0581651376146795	0.12379915886759278	3.76	4.29	196.0	23.333333333333332	3.1161333333333325	0.06189172909003204	3.0	3.22	3.4450666666666643	0.057014618008600804	3.33	3.54	0
5	3930	pepper	2	48.346055979643765	7.379134860050891	-0.00946222222222188	0.10510353927558273	-0.3808399999999996	0.1391600000000004	0.03533777777778461	0.14341661478652115	-0.3376399999999933	0.212360000000007	0.0	126.66666666666667	3.04		3.04	3.04	3.39		3.39	3.39	126.66666666666667	19.333333333333332	3.4570229007633597	0.04964016141560179	3.25	3.56	3.7851908396946556	0.061473585885298596	3.55	3.89	1
5	3559	minion	3	37.651025568980046	5.338578252318067	-0.33804496894409897	0.12530069423253534	-0.4808399999999997	-0.0808399999999998	-0.34602509316769503	0.1426310827849157	-0.5876399999999933	-0.04763999999999324	0.0	0.0									89.33333333333333	12.666666666666666	3.0903333333333323	0.12631279309802193	2.94	3.34	3.345466666666667	0.13769232634312184	3.12	3.63	0
5	5599	pig	6	41.078764065011605	3.7506697624575818	-0.16560562499999967	0.056185474973868506	-0.28083999999999953	-0.0008399999999997299	-0.16299156249999314	0.062414438983519206	-0.3776399999999933	-0.04763999999999324	0.0	0.0									153.33333333333334	14.0	3.225000000000003	0.034732921543201206	3.16	3.3	3.5166	0.0576360951408685	3.3	3.61	0
5	4219	hedge	4	54.98933396539464	4.9774828158331355	-0.23291843137254872	0.1327035419450958	-0.41083999999999987	0.11916000000000038	-0.23956156862744413	0.13451807289185205	-0.4676399999999932	0.10236000000000667	0.0	0.0									154.66666666666666	14.0	3.1004635761589423	0.051850268380460966	3.01	3.23	3.3604635761589403	0.06063373921444916	3.24	3.52	0
5	3880	aliens	5	59.27835051546392	4.381443298969073	-0.23853230769230732	0.14917094214771945	-0.5408399999999998	0.04916000000000054	-0.250554979757078	0.1738621687365718	-0.5876399999999933	0.09236000000000688	153.33333333333334	0.0	3.14	0.039157800414902466	3.1	3.22	3.2599999999999993	0.02108185106778917	3.23	3.29	153.33333333333334	11.333333333333334	3.106666666666667	0.10727663960490977	2.88	3.35	3.367133333333335	0.1303445957703366	3.09	3.71	0
6	4507	unicorn	5	0.0	0.0	-0.3337649564902042	0.08809532538620135	-0.5745685279187756	-0.18456852791877543	-0.2868616298042071	0.07181022517791256	-0.4913705583756358	-0.11137055837563592	0.0	0.0	2.8435526315789468	0.0630915514126029	2.68	2.94	2.5730263157894746	0.0695321457906026	2.4	2.78	0.0	0.0	2.9652054794520546	0.0346052978057589	2.91	3.02	2.639041095890412	0.06772420344393637	2.4	2.73	0
6	3939	pepper	2	30.464584920030465	4.061944656004062	-0.2534619705417264	0.04945801850745667	-0.4845685279187757	-0.06456852791877532	-0.19157547640842248	0.08939416010281141	-0.3713705583756357	0.7886294416243644	80.0	10.666666666666666	2.9657547169811305	0.05793178440376968	2.76	3.18	2.7121698113207557	0.11919575509364849	2.55	3.68	0.0	0.0	3.025200000000001	0.03210455890839642	2.98	3.08	2.6837333333333326	0.05739322243943081	2.52	2.76	0
6	4069	minion	3	27.27942983534038	3.4406488080609487	-0.33167963902988645	0.1071139938699689	-0.6045685279187754	-0.17456852791877564	-0.2485187065237838	0.07495981758958246	-0.4913705583756358	-0.11137055837563592	74.0	9.333333333333334	2.80869918699187	0.05763024236804121	2.64	2.94	2.5846341463414637	0.04984060960154701	2.4	2.7	0.0	0.0	2.981466666666666	0.031652391282079646	2.91	3.06	2.6531999999999996	0.04559397779105059	2.51	2.76	0
6	3750	pig	6	0.0	0.0	-0.24553109476369503	0.11612994987466403	-0.5045685279187753	-0.10456852791877536	-0.20137055837563547	0.08159037472221721	-0.43137055837563576	-0.03137055837563585	0.0	0.0	2.868108108108109	0.06373480319917425	2.74	3.0	2.612702702702703	0.0657995565063394	2.46	2.86	0.0	0.0	3.0865333333333345	0.027631422248872713	3.05	3.14	2.747200000000001	0.0376168449903368	2.61	2.8	1
6	4428	hedge	4	0.0	0.0	-0.2742270645041413	0.060846806091802416	-0.42456852791877564	-0.1645685279187754	-0.19688275349758685	0.07580519472060215	-0.4713705583756358	-0.07137055837563588	0.0	0.0	2.889152542372882	0.030245440556543105	2.82	2.94	2.6367796610169494	0.07946894162276057	2.42	2.82	0.0	0.0	3.0205333333333337	0.03225294176121378	2.97	3.08	2.750800000000001	0.03494242368487004	2.7	2.81	0
