130078,s0m,06/12/2018,14:23:31.827,,
130081,s0m,06/12/2018,14:23:31.827,3.44,3.16
130087,s0m,06/12/2018,14:23:31.827,,
130088,s0m,06/12/2018,14:23:31.827,,
130091,s0m,06/12/2018,14:23:31.827,3.4,2.87
130098,s0m,06/12/2018,14:23:31.827,,
130098,s0m,06/12/2018,14:23:31.827,,
130101,s0m,06/12/2018,14:23:31.827,3.5,3.04
130108,s0m,06/12/2018,14:23:31.827,,
130109,s0m,06/12/2018,14:23:31.827,,
130111,s0m,06/12/2018,14:23:31.827,3.47,2.91
130118,s0m,06/12/2018,14:23:31.827,,
130119,s0m,06/12/2018,14:23:31.827,,
130121,s0m,06/12/2018,14:23:31.827,3.54,3.09
130128,s0m,06/12/2018,14:23:31.827,,
130130,s0m,06/12/2018,14:23:31.827,,
130131,s0m,06/12/2018,14:23:31.827,3.48,3.07
130138,s0m,06/12/2018,14:23:31.827,,
130141,s0m,06/12/2018,14:23:31.827,,
130141,s0m,06/12/2018,14:23:31.827,3.54,3.2
130148,s0m,06/12/2018,14:23:31.827,,
130151,s0m,06/12/2018,14:23:31.827,3.47,3.17
130152,s0m,06/12/2018,14:23:31.827,,
130158,s0m,06/12/2018,14:23:31.827,,
130161,s0m,06/12/2018,14:23:31.827,3.53,3.25
130162,s0m,06/12/2018,14:23:31.827,,
130168,s0m,06/12/2018,14:23:31.827,,
130171,s0m,06/12/2018,14:23:31.827,3.44,3.24
130173,s0m,06/12/2018,14:23:31.827,,
130178,s0m,06/12/2018,14:23:31.827,,
130181,s0m,06/12/2018,14:23:31.827,3.5,3.29
130184,s0m,06/12/2018,14:23:31.827,,
130188,s0m,06/12/2018,14:23:31.827,,
130191,s0m,06/12/2018,14:23:31.827,3.42,3.26
130195,s0m,06/12/2018,14:23:31.827,,
130198,s0m,06/12/2018,14:23:31.827,,
130201,s0m,06/12/2018,14:23:31.827,3.48,3.31
130206,s0m,06/12/2018,14:23:31.827,,
130208,s0m,06/12/2018,14:23:31.827,,
130211,s0m,06/12/2018,14:23:31.827,3.41,3.29
130216,s0m,06/12/2018,14:23:31.827,,
130218,s0m,06/12/2018,14:23:31.827,,
130221,s0m,06/12/2018,14:23:31.827,3.46,3.32
130227,s0m,06/12/2018,14:23:31.827,,
130228,s0m,06/12/2018,14:23:31.827,,
130231,s0m,06/12/2018,14:23:31.827,3.4,3.29
130238,s0m,06/12/2018,14:23:31.827,,
130238,s0m,06/12/2018,14:23:31.827,,
130241,s0m,06/12/2018,14:23:31.827,3.46,3.31
130248,s0m,06/12/2018,14:23:31.827,,
130249,s0m,06/12/2018,14:23:31.827,,
130251,s0m,06/12/2018,14:23:31.827,3.4,3.28
130258,s0m,06/12/2018,14:23:31.827,,
130259,s0m,06/12/2018,14:23:31.827,,
130261,s0m,06/12/2018,14:23:31.827,3.46,3.3
