,cols_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,mean,std,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
31,8_features,162,True,minmax,True,121,41,mlp,recall,0.750413223140496,0.086362647785872,0.731707317073171,0.838235294117647,0.388888888888889,1,0.56,0.838235294117647,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
32,8_features,162,True,minmax,True,121,41,mlp,f1,0.515064520806147,0.05252962976959,0.731707317073171,0.838235294117647,0.388888888888889,1,0.56,0.838235294117647,{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
9,8_features,162,True,minmax,True,121,41,knn,roc_auc,0.805886840432295,0.054283061787674,0.731707317073171,0.781512605042017,0.375,0.857142857142857,0.521739130434782,0.781512605042017,{'clf__algorithm': 'kd_tree', 'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'},,
34,8_features,162,True,minmax,True,121,41,mlp,roc_auc,0.78411951684679,0.060419973734809,0.731707317073171,0.781512605042017,0.375,0.857142857142857,0.521739130434782,0.781512605042017,{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__solver': 'sgd'},
2,8_features,162,True,minmax,True,121,41,gaussian_nb,f1,0.474998263768317,0.029229397210613,0.707317073170732,0.823529411764706,0.368421052631579,1,0.538461538461538,0.823529411764706,{'clf__var_smoothing': 1e-09},,,,,
8,8_features,162,True,minmax,True,121,41,knn,balanced_accuracy,0.761379529561348,0.07844925407464,0.731707317073171,0.724789915966386,0.357142857142857,0.714285714285714,0.476190476190476,0.724789915966386,{'clf__algorithm': 'ball_tree', 'clf__n_neighbors': 3, 'clf__p': 3, 'clf__weights': 'distance'},,
23,8_features,162,True,minmax,True,121,41,decision_tree,balanced_accuracy,0.796090273363,0.095488970803854,0.731707317073171,0.724789915966386,0.357142857142857,0.714285714285714,0.476190476190476,0.724789915966386,{'clf__criterion': 'entropy', 'clf__max_depth': 20, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
33,8_features,162,True,minmax,True,121,41,mlp,balanced_accuracy,0.761379529561348,0.03733570524786,0.682926829268293,0.808823529411765,0.35,1,0.518518518518518,0.808823529411765,{'clf__activation': 'tanh', 'clf__alpha': 0.05, 'clf__hidden_layer_sizes': (300,), 'clf__solver': 'sgd'},
16,8_features,162,True,minmax,True,121,41,svm,recall,0.851239669421488,0.087306529892524,0.658536585365854,0.794117647058824,0.333333333333333,1,0.5,0.794117647058824,{'clf__C': 0.01, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'},,,
18,8_features,162,True,minmax,True,121,41,svm,balanced_accuracy,0.747488874761602,0.012760185138138,0.658536585365854,0.794117647058824,0.333333333333333,1,0.5,0.794117647058824,{'clf__C': 0.01, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
19,8_features,162,True,minmax,True,121,41,svm,roc_auc,0.807857596948506,0.055839553322954,0.658536585365854,0.794117647058824,0.333333333333333,1,0.5,0.794117647058824,{'clf__C': 10, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
26,8_features,162,True,minmax,True,121,41,random_forest,recall,0.801652892561983,0.141994919635799,0.682926829268293,0.752100840336134,0.333333333333333,0.857142857142857,0.48,0.752100840336134,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
21,8_features,162,True,minmax,True,121,41,decision_tree,recall,0.950413223140496,0.086362647785872,0.487804878048781,0.691176470588235,0.25,1,0.4,0.691176470588235,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
24,8_features,162,True,minmax,True,121,41,decision_tree,roc_auc,0.826738715829625,0.037955916786259,0.487804878048781,0.521008403361344,0.181818181818182,0.571428571428571,0.275862068965517,0.521008403361344,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
