subject	duration	card_class	show_order	fix_freq	sacc_freq	pupil_diam_right_mean	pupil_diam_right_std	pupil_diam_right_min	pupil_diam_right_max	pupil_diam_left_mean	pupil_diam_left_std	pupil_diam_left_min	pupil_diam_left_max	sre_fix_freq	sre_sacc_freq	sre_pupil_diam_right_mean	sre_pupil_diam_right_std	sre_pupil_diam_right_min	sre_pupil_diam_right_max	sre_pupil_diam_left_mean	sre_pupil_diam_left_std	sre_pupil_diam_left_min	sre_pupil_diam_left_max	srl_fix_freq	srl_sacc_freq	srl_pupil_diam_right_mean	srl_pupil_diam_right_std	srl_pupil_diam_right_min	srl_pupil_diam_right_max	srl_pupil_diam_left_mean	srl_pupil_diam_left_std	srl_pupil_diam_left_min	srl_pupil_diam_left_max	label
4	2783	unicorn	1	70.42759611929573	112.46855910887531	-0.07147238471966673	0.07705986744470034	-0.1914290155440348	0.03617098445596145	-0.20732375856645593	0.06534299979580463	-0.35418837209302456	-0.09258837209303028	130.66666666666666	208.66666666666666	4.05879908256881	0.040197039770645746	4.019400000000005	4.157133333333339	4.451805974842765	0.058727857162436795	4.343666666666659	4.535999999999993	130.66666666666666	208.66666666666666	4.173027833333332	0.05911070426027167	4.035400000000001	4.247000000000002	4.437154166666666	0.06729377664157853	4.296799999999999	4.538666666666664	1
4	2383	pepper	4	152.7486361728913	51.19597146454049	-0.4861569190131222	0.05551315107913599	-0.585162348877375	-0.41369568221070496	-0.6772490055771887	0.09894750823818756	-0.8453883720930269	-0.5378550387597008	242.66666666666666	81.33333333333333	3.6842702033598553	0.0451268607062195	3.625666666666667	3.7884666666666704	3.952558267020334	0.12605955393339457	3.805599999999997	4.201133333333323	242.66666666666666	81.33333333333333	3.7516719060523944	0.04432368734563867	3.629933333333334	3.803333333333335	4.050967479674792	0.10182893169850213	3.8402666666666687	4.201933333333324	0
4	2368	minion	5	97.12837837837839	82.34797297297298	-0.4730522959673282	0.09619142836622085	-0.6501623488773762	-0.38216234887737466	-0.5444911687672557	0.08772162613435118	-0.6957883720930247	-0.3799217054263764	153.33333333333334	130.0	3.673673162393165	0.07748643314353408	3.568266666666671	3.811733333333337	4.035203247863245	0.05380604924047275	3.949999999999997	4.1568666666666605	153.33333333333334	130.0	3.771310746812385	0.06823080072295105	3.5687333333333275	3.828666666666673	4.107380510018205	0.08955547203780882	3.9856666666666682	4.271066666666647	0
4	2349	pig	2	108.55683269476371	76.62835249042145	-0.17484824099356197	0.11628723826171106	-0.3295623488773778	-0.01969568221071505	-0.22586458232815718	0.14365205785913684	-0.4263883720930224	-0.03958837209303212	170.0	120.0	3.932937520128822	0.048312594851411435	3.881266666666664	4.073466666666658	4.310380193236718	0.07833292459196686	4.224600000000002	4.545800000000014	170.0	120.0	4.070663239074542	0.1024905326822034	3.8865333333333325	4.191133333333327	4.461264095972577	0.14300468245129697	4.224600000000002	4.619533333333327	0
4	2126	hedge	3	95.01411100658514	66.79209783631232	-0.472306680518655	0.031586384779516516	-0.5424290155440388	-0.40956234887737786	-0.5672473141585097	0.04775278799953366	-0.6351217054263456	-0.46865503875968795	134.66666666666666	94.66666666666667	3.794898721227613	0.07586582424885534	3.702333333333321	3.9215999999999878	4.213471099744236	0.1498157694951158	4.017599999999997	4.5107999999999935	134.66666666666666	94.66666666666667	3.734727536231884	0.029100582088640248	3.668399999999998	3.7955333333333274	4.077764855072458	0.04427015401168653	4.015866666666666	4.1823333333333235	0
4	3228	aliens	6	101.61090458488228	83.95291201982651	-0.3719453400797233	0.045994441597895966	-0.5194956822107111	-0.30576234887737685	-0.503942143382559	0.06795574505060367	-0.6537217054263484	-0.36552170542635576	218.66666666666666	180.66666666666666	3.8008708860759524	0.04723160219715671	3.710600000000011	3.877733333333346	4.116364725738393	0.05944083916447812	3.997266666666666	4.222399999999994	218.66666666666666	180.66666666666666	3.878915673289187	0.025241455120411333	3.8283999999999954	3.9282000000000026	4.239895364238398	0.05143138153756131	4.138533333333323	4.351866666666658	0
5	2808	unicorn	4	141.02564102564102	1.0683760683760684	-0.0500054759358334	0.025822533017555976	-0.10150196078431684	-0.017435294117654987	-0.05705284848485412	0.012471001747967232	-0.09684000000000692	-0.038373333333339144	264.0	0.0	3.266425000000008	0.007386916708717348	3.2547333333333417	3.279000000000007	3.071554999999937	0.015043256811561313	3.0448666666666013	3.0985999999999363	264.0	2.0	3.211004265402848	0.031586994205362304	3.1587333333333416	3.277400000000007	3.1157262243285198	0.036570408769752004	3.0261333333332665	3.1725999999999273	0
5	2197	pepper	6	190.71461083295404	13.199817933545743	-0.22328724506525516	0.011560326761443203	-0.25323529411765344	-0.2046352941176468	-0.22795306306306495	0.03482487944020248	-0.3020400000000021	-0.17977333333334045	279.3333333333333	19.333333333333332	3.0362418732782435	0.024549038259446775	3.0070000000000077	3.1065333333333394	2.9382812672175604	0.047325924145448395	2.877399999999929	3.0584666666666025	279.3333333333333	19.333333333333332	3.0370173120728987	0.017050826337930567	3.0070000000000077	3.098733333333338	2.9564227790432103	0.041377542855228155	2.877399999999929	3.040933333333267	0
5	2480	minion	5	133.46774193548387	3.629032258064516	-0.07432704014939451	0.02504214980799271	-0.11670196078431738	-0.037835294117647855	-0.046134603174603085	0.016540423393470772	-0.07463999999999915	-0.016973333333334395	220.66666666666666	0.0	3.1275744292237526	0.004363465466932321	3.1151333333333393	3.1322000000000068	3.089532420091255	0.009824079092647452	3.0752666666665966	3.107266666666594	220.66666666666666	6.0	3.1667792592592674	0.031087335399309815	3.1151333333333393	3.2224000000000093	3.1307366666665972	0.026142932857833475	3.0752666666665966	3.1734666666665974	0
5	2945	pig	1	197.2835314091681	17.31748726655348	0.1359096168238272	0.0770370683344715	-0.05010196078431628	0.2273647058823518	0.147020341555973	0.0884053305486865	-0.08570666666666682	0.23402666666666594	387.3333333333333	34.0	3.263256565656567	0.04013884786354602	3.2101333333333355	3.3410666666666713	3.1944228758169957	0.07732894974209382	3.104733333333336	3.324400000000001	387.3333333333333	34.0	3.4231708898944193	0.04672238016762805	3.3093333333333366	3.4876000000000036	3.3694627450980343	0.04714807800395453	3.2291333333333236	3.4244666666666688	1
