subject	duration	card_class	show_order	fix_freq	sacc_freq	sr_fix_freq	sr_sacc_freq	pupil_diam_right_mean	pupil_diam_right_std	pupil_diam_right_min	pupil_diam_right_max	pupil_diam_left_mean	pupil_diam_left_std	pupil_diam_left_min	pupil_diam_left_max	sr_pupil_diam_right_mean	sr_pupil_diam_right_std	sr_pupil_diam_right_min	sr_pupil_diam_right_max	sr_pupil_diam_left_mean	sr_pupil_diam_left_std	sr_pupil_diam_left_min	sr_pupil_diam_left_max	label
4	2783	unicorn	1	70.42759611929573	112.46855910887531	130.66666666666666	208.66666666666666	4.1618055555555555	0.24518996748447672	3.7	5.41	4.44969387755102	0.37874273544799664	3.9	6.8	4.104038461538463	0.13790751953117428	3.7	4.42	4.540104166666667	0.4678337419294586	3.96	6.8	1
4	2383	pepper	4	152.7486361728913	51.19597146454049	242.66666666666666	81.33333333333333	3.7222222222222228	0.15052442982017164	3.24	4.73	3.9671751412429392	0.2887137184075478	3.33	5.49	3.706320754716982	0.11626181841981538	3.24	3.97	3.979074074074074	0.32558369450158725	3.33	5.49	0
4	2368	minion	5	97.12837837837839	82.34797297297298	153.33333333333334	130.0	3.7377439024390235	0.30586561510321647	2.9	6.5	4.146352941176468	0.5307889562863555	3.51	6.49	3.710982142857144	0.3640462296685784	2.9	6.5	4.079824561403508	0.4963084654151349	3.51	6.31	0
4	2349	pig	2	108.55683269476371	76.62835249042145	170.0	120.0	4.035274725274722	0.1988799613489685	3.68	5.07	4.4647826086956535	0.3605414105143157	3.95	6.19	3.9740833333333327	0.10023079110030926	3.73	4.19	4.375090909090909	0.3215693897025359	3.97	6.19	0
4	2126	hedge	3	95.01411100658514	66.79209783631232	134.66666666666666	94.66666666666667	3.770248447204966	0.24934902824795363	3.24	6.03	4.1271232876712345	0.3896345925733576	3.58	5.9	3.764358974358972	0.11429230987030893	3.42	4.34	4.11577319587629	0.29475920628662583	3.66	5.69	0
4	3228	aliens	6	101.61090458488228	83.95291201982651	218.66666666666666	180.66666666666666	3.8434285714285727	0.21089160721366967	3.22	5.47	4.139029535864977	0.28328338803660114	3.61	5.48	3.8423595505617967	0.11946873375595082	3.22	4.04	4.112363636363638	0.2700694007738788	3.61	5.3	0
5	2808	unicorn	4	141.02564102564102	1.0683760683760684	264.0	0.0	3.197573529411764	0.05101192777771809	3.06	3.3	3.119305555555554	0.09491735660196501	2.88	3.64	3.1033333333333335	0.023094010767585063	3.06	3.14	2.971538461538462	0.05320497374089408	2.88	3.04	0
5	2197	pepper	6	190.71461083295404	13.199817933545743	279.3333333333333	19.333333333333332	3.026600000000001	0.05537947188300253	2.78	3.19	2.9471052631578925	0.07672632692654395	2.64	3.05	3.008624999999999	0.06929561971288227	2.78	3.19	2.906951219512195	0.07103622835733313	2.64	3.01	0
5	2480	minion	5	133.46774193548387	3.629032258064516	220.66666666666666	0.0	3.1813559322033904	0.058205578113120264	2.95	3.3	3.1308943089430894	0.08269049670932521	2.84	3.25	3.1185	0.07527318667081223	2.95	3.3	3.0824000000000003	0.1074430081485064	2.84	3.24	0
5	2945	pig	1	197.2835314091681	17.31748726655348	387.3333333333333	34.0	3.3649494949494985	0.12040434194047686	3.02	3.54	3.309475982532752	0.2221065130713225	2.98	4.54	3.263333333333334	0.11100729276772336	3.02	3.49	3.268809523809524	0.33731900014676236	2.98	4.54	1
5	2448	hedge	3	103.75816993464052	8.169934640522875	0.0	169.33333333333334	3.0908823529411773	0.11639045707178561	2.33	3.25	3.0420408163265305	0.08536107884024209	2.83	3.14	3.07375	0.09956153875869941	3.0	3.25	2.95	0.1080123449734643	2.83	3.06	0
5	3510	aliens	2	132.1937321937322	13.960113960113961	0.0	0.0	3.17295698924731	0.04911506929616869	3.03	3.65	3.120468750000001	0.10379343694259296	2.97	4.28	3.1174999999999997	0.00957427107756341	3.11	3.13	3.0474999999999994	0.004999999999999893	3.04	3.05	0
6	1859	unicorn	6	12.372243141473911	8.068854222700377	15.333333333333334	10.0	3.0094444444444446	0.1843740514543009	2.73	3.33	3.213	0.16880695919802657	2.98	3.69	3.0094444444444446	0.1843740514543009	2.73	3.33	3.213	0.16880695919802657	2.98	3.69	0
6	2940	pepper	1	151.0204081632653	28.571428571428573	296.0	56.0	3.145303030303028	0.24688035099316138	2.87	5.39	2.9494086021505352	0.1211841338789092	2.36	3.82	3.165555555555556	0.46115387137240965	2.87	5.39	2.926415094339622	0.14090496442123185	2.77	3.82	0
6	3409	minion	2	96.80258140217073	0.0	0.0	0.0	3.233965517241378	0.14750610487201113	2.99	3.46	3.0545132743362826	0.1112188250898272	2.81	3.22	3.4233333333333333	0.05507570547286112	3.36	3.46					0
6	2319	pig	4	26.735661923242777	4.743423889607589	0.0	0.0	3.325	0.7110288320455085	3.04	5.86	3.0416666666666674	0.5543007084266796	2.78	5.43									1
6	3849	hedge	3	142.11483502208364	20.005196154845414	364.6666666666667	51.333333333333336	3.225446009389672	0.12060544257541296	2.99	3.62	3.015607476635515	0.11819596658349801	2.7	3.56	3.4436666666666675	0.05833809504374767	3.31	3.62	3.221333333333333	0.10119061334869486	3.06	3.56	0
6	3416	aliens	5	85.18735362997658	26.639344262295083	0.0	194.0	3.1153956834532393	0.13139312727184732	2.81	3.94	2.8986466165413534	0.10174821832173427	2.59	3.11	3.3075	0.09604686356149277	3.21	3.39	3.045	0.0212132034355966	3.03	3.06	0
7	4774	unicorn	1	259.94972769166316	0.6284038542103059	827.3333333333334	0.0	3.6501864801864823	0.08531394854762943	3.31	3.82	3.8737616822429866	0.09394108088687231	3.68	4.48	3.658476190476191	0.10836885864402894	3.5	3.82	3.9235238095238105	0.056856447986624	3.79	4.04	0
7	3146	pepper	2	276.2237762237762	0.0	579.3333333333334	0.0	3.7311148648648698	0.10332985022624534	3.45	3.88	4.011925675675673	0.1217917417375832	3.79	5.14	3.6974809160305333	0.12463079944966295	3.45	3.86	4.0155725190839675	0.1514756152264146	3.79	5.14	0
7	2987	minion	3	199.53130231001003	15.734851021091396	397.3333333333333	31.333333333333332	3.7382272727272734	0.07825169075926262	3.47	3.87	3.972227272727277	0.09695851008271286	3.76	4.16	3.677183098591548	0.04485478469752776	3.58	3.8	4.01760563380282	0.0709620580457793	3.83	4.12	0
7	4290	pig	6	215.85081585081585	17.24941724941725	617.3333333333334	49.333333333333336	3.722724637681179	0.061181174919054025	3.48	3.89	3.9525872093023264	0.12201655223613962	3.64	4.84	3.789117647058824	0.04882913536048614	3.71	3.89	4.043134328358208	0.15519497956601752	3.92	4.84	0
7	4154	hedge	5	229.4174289841117	18.53635050553683	635.3333333333334	51.333333333333336	3.6048717948717948	0.049930501149647484	3.48	3.72	3.8641310541310427	0.10155800554377024	3.61	4.61	3.6365882352941163	0.034556817988174074	3.57	3.72	3.9757647058823515	0.12388912545563664	3.84	4.61	0
7	4081	aliens	4	218.57387895123742	13.232050967900022	594.6666666666666	36.0	3.7817901234567852	0.09501444779163214	3.5	4.2	4.030555555555558	0.16203714744373526	3.61	4.34	3.8457142857142887	0.029269929594515763	3.8	3.92	4.197857142857142	0.06385883110861805	4.05	4.34	1
8	2113	unicorn	5	167.06105063890203	15.144344533838145	235.33333333333334	21.333333333333332	3.478962962962963	0.07492557575089492	3.01	3.56	3.380522388059704	0.07884807094659113	3.29	3.91	3.4671874999999996	0.07135829719764458	3.01	3.55	3.3980412371134032	0.08506907946949317	3.3	3.91	0
8	4320	pepper	4	228.24074074074073	10.87962962962963	657.3333333333334	31.333333333333332	3.473636363636375	0.05529886308021399	3.2	3.61	3.322793296089374	0.04510823286295452	3.11	3.62	3.436097560975611	0.04564371138546306	3.3	3.5	3.3197701149425294	0.0534610706331481	3.22	3.62	0
8	3523	minion	6	167.75475447062163	29.236446210615952	394.0	68.66666666666667	3.6745267489711937	0.07082222465212738	3.4	3.81	3.497656903765696	0.09852031028306915	3.07	3.96	3.6621212121212094	0.05820920621612784	3.49	3.79	3.519215686274509	0.11804250178114692	3.37	3.96	0
