subject	duration	card_class	show_order	fix_freq	sacc_freq	pupil_diam_right_mean	pupil_diam_right_std	pupil_diam_right_min	pupil_diam_right_max	pupil_diam_left_mean	pupil_diam_left_std	pupil_diam_left_min	pupil_diam_left_max	sre_fix_freq	sre_sacc_freq	sre_pupil_diam_right_mean	sre_pupil_diam_right_std	sre_pupil_diam_right_min	sre_pupil_diam_right_max	sre_pupil_diam_left_mean	sre_pupil_diam_left_std	sre_pupil_diam_left_min	sre_pupil_diam_left_max	srl_fix_freq	srl_sacc_freq	srl_pupil_diam_right_mean	srl_pupil_diam_right_std	srl_pupil_diam_right_min	srl_pupil_diam_right_max	srl_pupil_diam_left_mean	srl_pupil_diam_left_std	srl_pupil_diam_left_min	srl_pupil_diam_left_max	label
4	2783	unicorn	1	70.42759611929573	112.46855910887531	0.988357765226867	0.05822843116625528	0.8786868301566406	1.28478263544525	0.9567200606757452	0.08143274184913857	0.8385314449291847	1.4620548270560143	130.66666666666666	208.66666666666666	4.104038461538463	0.13790751953117428	3.7	4.42	4.540104166666667	0.4678337419294586	3.96	6.8	130.66666666666666	208.66666666666666	4.2009160305343505	0.2844575144204772	3.76	5.41	4.414561403508772	0.36586457272708667	3.9	6.8	1
4	2383	pepper	4	152.7486361728913	51.19597146454049	0.8839642285359591	0.03574698218914118	0.769444683704734	1.1232942450380838	0.8529746419163038	0.06207577729927152	0.7159768491318423	1.1803942647849293	242.66666666666666	81.33333333333333	3.706320754716982	0.11626181841981538	3.24	3.97	3.979074074074074	0.32558369450158725	3.33	5.49	242.66666666666666	81.33333333333333	3.7624369747899156	0.15369994092912986	3.39	4.73	4.041801801801799	0.3269617664559524	3.61	5.49	0
4	2368	minion	5	97.12837837837839	82.34797297297298	0.8876503625868802	0.07263786156458275	0.6887004885011507	1.543639025950855	0.8914993135772	0.11412390524801322	0.7546783004362663	1.3954023275872844	153.33333333333334	130.0	3.710982142857144	0.3640462296685784	2.9	6.5	4.079824561403508	0.4963084654151349	3.51	6.31	153.33333333333334	130.0	3.7974193548387105	0.12566261961754757	3.43	4.56	4.177669902912623	0.5105383622994478	3.69	6.49	0
4	2349	pig	2	108.55683269476371	76.62835249042145	0.958308853287259	0.04723059535659468	0.8739371716152533	1.204038440241667	0.9599642595292978	0.07751931023471162	0.8492818480693025	1.3308999087465778	170.0	120.0	3.9740833333333327	0.10023079110030926	3.73	4.19	4.375090909090909	0.3215693897025359	3.97	6.19	170.0	120.0	4.113482142857144	0.21656911104409576	3.68	5.07	4.5952040816326525	0.3870646329571604	3.95	6.19	0
4	2126	hedge	3	95.01411100658514	66.79209783631232	0.8953696370209535	0.059216137090225135	0.769444683704734	1.4320220502282548	0.8873647830286788	0.08377457894998248	0.7697288648324311	1.2685475705338949	134.66666666666666	94.66666666666667	3.764358974358972	0.11429230987030893	3.42	4.34	4.11577319587629	0.29475920628662583	3.66	5.69	134.66666666666666	94.66666666666667	3.754056603773585	0.3024999907182581	3.24	6.03	4.1241818181818175	0.44024468137946016	3.58	5.9	0
4	3228	aliens	6	101.61090458488228	83.95291201982651	0.9127486671248755	0.05008315617546453	0.7646950251633466	1.2990316110694118	0.88992472238806	0.06090821248583744	0.7761791067165017	1.1782441841569058	218.66666666666666	180.66666666666666	3.8423595505617967	0.11946873375595082	3.22	4.04	4.112363636363638	0.2700694007738788	3.61	5.3	218.66666666666666	180.66666666666666	3.8374774774774782	0.2687190776069735	3.43	5.47	4.15072072072072	0.2985227620732454	3.62	5.48	0
5	2808	unicorn	4	141.02564102564102	1.0683760683760684	0.9807799870092363	0.015646701288633193	0.9385825635103913	1.0121968822170886	0.9777038764419805	0.029750553717344613	0.9026968067100454	1.1409084640363074	264.0	0.0	3.1033333333333335	0.023094010767585063	3.06	3.14	2.971538461538462	0.05320497374089408	2.88	3.04	264.0	2.0	3.1981481481481473	0.050758209176288496	3.06	3.3	3.1209790209790196	0.09309479256033433	2.9	3.64	0
5	2197	pepper	6	190.71461083295404	13.199817933545743	0.9283379041570434	0.01698634205418303	0.8526991916859109	0.9784569861431857	0.9237300382260419	0.024048823023327157	0.8274720728175418	0.9559809932172356	279.3333333333333	19.333333333333332	3.008624999999999	0.06929561971288227	2.78	3.19	2.906951219512195	0.07103622835733313	2.64	3.01	279.3333333333333	19.333333333333332	3.0271621621621634	0.05546391289287552	2.78	3.19	2.949933333333331	0.07250546534981236	2.64	3.05	0
5	2480	minion	5	133.46774193548387	3.629032258064516	0.9758056229694273	0.017853183240528352	0.9048426674364883	1.0121968822170886	0.9813362134824938	0.02591821087665812	0.8901593510612947	1.0186682714609887	220.66666666666666	0.0	3.1185	0.07527318667081223	2.95	3.3	3.0824000000000003	0.1074430081485064	2.84	3.24	220.66666666666666	6.0	3.1813559322033904	0.058205578113120264	2.95	3.3	3.1308943089430894	0.08269049670932521	2.84	3.25	0
5	2945	pig	1	197.2835314091681	17.31748726655348	1.0321186023048012	0.03693118167198509	0.9263135103926083	1.085811200923786	1.0373102087902442	0.06961626392325887	0.934040445831922	1.4230012161331966	387.3333333333333	34.0	3.263333333333334	0.11100729276772336	3.02	3.49	3.268809523809524	0.33731900014676236	2.98	4.54	387.3333333333333	34.0	3.408068965517244	0.09722037217725261	3.05	3.54	3.332052980132449	0.10306190942532037	3.09	3.49	1
