subject	source	duration	card_class	show_order	fix_freq	sacc_freq	pd_right_mean	pd_right_std	pd_right_min	pd_right_max	pd_left_mean	pd_left_std	pd_left_min	pd_left_max	sre_fix_freq	sre_sacc_freq	sre_pd_right_mean	sre_pd_right_std	sre_pd_right_min	sre_pd_right_max	sre_pd_left_mean	sre_pd_left_std	sre_pd_left_min	sre_pd_left_max	srl_fix_freq	srl_sacc_freq	srl_pd_right_mean	srl_pd_right_std	srl_pd_right_min	srl_pd_right_max	srl_pd_left_mean	srl_pd_left_std	srl_pd_left_min	srl_pd_left_max	label
105	pilot	6149	unicorn	1	1.1383964872336965	1.626280696048138	3.294741379310343	0.20449471519377774	3.0	3.79	3.666542857142862	0.24007590046916963	3.33	4.17	4.0	7.0	3.5707954545454546	0.15484676586432666	3.19	3.79	4.016333333333335	0.09041042497312035	3.76	4.17	3.0	2.0	3.1161333333333325	0.06189172909003204	3.0	3.22	3.4450666666666643	0.057014618008600804	3.33	3.54	0
105	pilot	3930	pepper	2	1.272264631043257	2.544529262086514	3.411377777777782	0.10510353927558291	3.04	3.56	3.712977777777776	0.14341661478652118	3.34	3.89	0.0	1.0	3.04		3.04	3.04	3.39		3.39	3.39	4.0	4.0	3.4570229007633597	0.04964016141560179	3.25	3.56	3.7851908396946556	0.061473585885298596	3.55	3.89	1
105	pilot	3559	minion	3	1.4048890137679122	2.24782242202866	3.0827950310558987	0.1253006942325351	2.94	3.34	3.3316149068323	0.14263108278491582	3.09	3.63	0.0	0.0									5.0	6.0	3.0903333333333323	0.12631279309802193	2.94	3.34	3.345466666666667	0.13769232634312184	3.12	3.63	0
105	pilot	5599	pig	6	1.250223254152527	1.6074298981961064	3.2552343750000037	0.05618547497386862	3.14	3.42	3.514648437500005	0.062414438983519234	3.3	3.63	0.0	0.0									5.0	4.0	3.225000000000003	0.034732921543201206	3.16	3.3	3.5166	0.0576360951408685	3.3	3.61	0
105	pilot	4219	hedge	4	1.422137947380896	1.422137947380896	3.1879215686274467	0.13270354194509593	3.01	3.54	3.43807843137255	0.13451807289185191	3.21	3.78	0.0	0.0									3.0	2.0	3.1004635761589423	0.051850268380460966	3.01	3.23	3.3604635761589403	0.06063373921444916	3.24	3.52	0
105	pilot	3880	aliens	5	1.8041237113402062	1.5463917525773196	3.1823076923076945	0.1491709421477195	2.88	3.47	3.4270850202429175	0.17386216873657176	3.09	3.77	1.0	0.0	3.14	0.039157800414902466	3.1	3.22	3.2599999999999993	0.02108185106778917	3.23	3.29	4.0	3.0	3.106666666666667	0.10727663960490977	2.88	3.35	3.367133333333335	0.1303445957703366	3.09	3.71	0
106	pilot	4507	unicorn	5	0.0	0.0	2.910803571428569	0.0880953253862014	2.67	3.06	2.604508928571428	0.0718102251779125	2.4	2.78	0.0	0.0	2.8435526315789468	0.0630915514126029	2.68	2.94	2.5730263157894746	0.0695321457906026	2.4	2.78	0.0	0.0	2.9652054794520546	0.0346052978057589	2.91	3.02	2.639041095890412	0.06772420344393637	2.4	2.73	0
106	pilot	3939	pepper	2	1.0154861640010155	1.2693577050012694	2.991106557377048	0.04945801850745671	2.76	3.18	2.693595041322318	0.05393912020975539	2.52	2.94	4.0	5.0	2.9657547169811305	0.05793178440376968	2.76	3.18	2.69798076923077	0.05179083788396294	2.55	2.94	0.0	0.0	3.025200000000001	0.03210455890839642	2.98	3.08	2.6837333333333326	0.05739322243943081	2.52	2.76	0
106	pilot	4069	minion	3	1.228803145736053	1.4745637748832636	2.9128888888888915	0.10711399386996866	2.64	3.07	2.6428518518518525	0.0749598175895824	2.4	2.78	5.0	5.0	2.80869918699187	0.05763024236804121	2.64	2.94	2.5846341463414637	0.04984060960154701	2.4	2.7	0.0	0.0	2.981466666666666	0.031652391282079646	2.91	3.06	2.6531999999999996	0.04559397779105059	2.51	2.76	0
106	pilot	3750	pig	6	0.0	0.0	2.9990374331550798	0.11612994987466425	2.74	3.14	2.69	0.0815903747222172	2.46	2.86	0.0	0.0	2.868108108108109	0.06373480319917425	2.74	3.0	2.612702702702703	0.0657995565063394	2.46	2.86	0.0	0.0	3.0865333333333345	0.027631422248872713	3.05	3.14	2.747200000000001	0.0376168449903368	2.61	2.8	1
