,col_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
31,full,144,True,minmax,True,108,36,ada,recall,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
32,full,144,True,minmax,True,108,36,ada,f1,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
33,full,144,True,minmax,True,108,36,ada,balanced_accuracy,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
34,full,144,True,minmax,True,108,36,ada,roc_auc,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
36,full,144,True,minmax,True,108,36,random_forest,recall,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}
38,full,144,True,minmax,True,108,36,random_forest,balanced_accuracy,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 100}
39,full,144,True,minmax,True,108,36,random_forest,roc_auc,0.833333333333333,0.7,0.5,0.5,0.5,0.7,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
41,tt,144,True,minmax,True,108,36,svm,recall,0.833333333333333,0.9,0.5,1,0.666666666666667,0.9,{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'},,,
44,tt,144,True,minmax,True,108,36,svm,roc_auc,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
51,tt,144,True,minmax,True,108,36,ada,recall,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
52,tt,144,True,minmax,True,108,36,ada,f1,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
53,tt,144,True,minmax,True,108,36,ada,balanced_accuracy,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
56,tt,144,True,minmax,True,108,36,random_forest,recall,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 10}
58,tt,144,True,minmax,True,108,36,random_forest,balanced_accuracy,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.625,0.833333333333333,{'clf__bootstrap': True, 'clf__max_depth': 50, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
59,tt,144,True,minmax,True,108,36,random_forest,roc_auc,0.833333333333333,0.766666666666667,0.5,0.666666666666667,0.571428571428571,0.766666666666667,{'clf__bootstrap': False, 'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
3,reduced,144,True,minmax,True,108,36,svm,balanced_accuracy,0.805555555555556,0.883333333333333,0.461538461538462,1,0.631578947368421,0.883333333333333,{'clf__C': 0.1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
42,tt,144,True,minmax,True,108,36,svm,f1,0.805555555555556,0.883333333333333,0.461538461538462,1,0.631578947368421,0.883333333333333,{'clf__C': 1, 'clf__kernel': 'linear'},,,,
43,tt,144,True,minmax,True,108,36,svm,balanced_accuracy,0.805555555555556,0.883333333333333,0.461538461538462,1,0.631578947368421,0.883333333333333,{'clf__C': 100, 'clf__gamma': 0.01, 'clf__kernel': 'rbf'},,,
22,full,144,True,minmax,True,108,36,svm,f1,0.805555555555556,0.816666666666667,0.454545454545455,0.833333333333333,0.588235294117647,0.816666666666667,{'clf__C': 100, 'clf__gamma': 0.001, 'clf__kernel': 'sigmoid'},,,
