,col_set,datapoints,normalize,oversample,drop_nan,train_set,test_set,model,tune_for,accuracy,bal_accuracy,precision,recall,f1,AUROC,params,,,,,
23,reduced,150,True,minmax,True,112,38,svm,balanced_accuracy,0.789473684210526,0.875,0.428571428571429,1,0.6,0.875,{'clf__C': 25, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
24,reduced,150,True,minmax,True,112,38,svm,roc_auc,0.605263157894737,0.765625,0.285714285714286,1,0.444444444444444,0.765625,{'clf__C': 1, 'clf__gamma': 1e-05, 'clf__kernel': 'rbf'},,,
25,reduced,150,True,minmax,True,112,38,decision_tree,precision,0.710526315789474,0.760416666666667,0.333333333333333,0.833333333333333,0.476190476190476,0.760416666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
26,reduced,150,True,minmax,True,112,38,decision_tree,recall,0.736842105263158,0.776041666666667,0.357142857142857,0.833333333333333,0.5,0.776041666666667,{'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__splitter': 'random'}
27,reduced,150,True,minmax,True,112,38,decision_tree,f1,0.789473684210526,0.875,0.428571428571429,1,0.6,0.875,{'clf__criterion': 'gini', 'clf__max_depth': 4, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
28,reduced,150,True,minmax,True,112,38,decision_tree,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__splitter': 'best'}
29,reduced,150,True,minmax,True,112,38,decision_tree,roc_auc,0.763157894736842,0.723958333333333,0.363636363636364,0.666666666666667,0.470588235294118,0.723958333333333,{'clf__criterion': 'entropy', 'clf__max_depth': 6, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 3, 'clf__splitter': 'random'}
30,reduced,150,True,minmax,True,112,38,ada,precision,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
31,reduced,150,True,minmax,True,112,38,ada,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.01, 'clf__n_estimators': 200},,,
32,reduced,150,True,minmax,True,112,38,ada,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 50},,,
33,reduced,150,True,minmax,True,112,38,ada,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.1, 'clf__n_estimators': 50},,,
34,reduced,150,True,minmax,True,112,38,ada,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 100},,,
35,reduced,150,True,minmax,True,112,38,random_forest,precision,0.81578947368421,0.890625,0.461538461538462,1,0.631578947368421,0.890625,{'clf__bootstrap': False, 'clf__max_depth': 50, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
36,reduced,150,True,minmax,True,112,38,random_forest,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
37,reduced,150,True,minmax,True,112,38,random_forest,f1,0.763157894736842,0.791666666666667,0.384615384615385,0.833333333333333,0.526315789473684,0.791666666666667,{'clf__bootstrap': False, 'clf__max_depth': 10, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
38,reduced,150,True,minmax,True,112,38,random_forest,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': False, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
39,reduced,150,True,minmax,True,112,38,random_forest,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': True, 'clf__max_depth': 50, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 10}
40,tt,150,True,minmax,True,112,38,svm,precision,0.842105263157895,0.90625,0.5,1,0.666666666666667,0.90625,{'clf__C': 1, 'clf__gamma': 1, 'clf__kernel': 'rbf'},,,
41,tt,150,True,minmax,True,112,38,svm,recall,0.763157894736842,0.859375,0.4,1,0.571428571428571,0.859375,{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'},,,
42,tt,150,True,minmax,True,112,38,svm,f1,0.789473684210526,0.875,0.428571428571429,1,0.6,0.875,{'clf__C': 10, 'clf__gamma': 0.1, 'clf__kernel': 'rbf'},,,
43,tt,150,True,minmax,True,112,38,svm,balanced_accuracy,0.81578947368421,0.890625,0.461538461538462,1,0.631578947368421,0.890625,{'clf__C': 1000, 'clf__gamma': 0.001, 'clf__kernel': 'rbf'},,,
44,tt,150,True,minmax,True,112,38,svm,roc_auc,0.736842105263158,0.84375,0.375,1,0.545454545454545,0.84375,{'clf__C': 50, 'clf__gamma': 0.01, 'clf__kernel': 'sigmoid'},,,
45,tt,150,True,minmax,True,112,38,decision_tree,precision,0.68421052631579,0.609375,0.25,0.5,0.333333333333333,0.609375,{'clf__criterion': 'gini', 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 4, 'clf__splitter': 'random'}
46,tt,150,True,minmax,True,112,38,decision_tree,recall,0.763157894736842,0.791666666666667,0.384615384615385,0.833333333333333,0.526315789473684,0.791666666666667,{'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 5, 'clf__splitter': 'random'}
47,tt,150,True,minmax,True,112,38,decision_tree,f1,0.789473684210526,0.671875,0.375,0.5,0.428571428571429,0.671875,{'clf__criterion': 'gini', 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__splitter': 'best'}
48,tt,150,True,minmax,True,112,38,decision_tree,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 4, 'clf__min_samples_split': 2, 'clf__splitter': 'random'}
49,tt,150,True,minmax,True,112,38,decision_tree,roc_auc,0.789473684210526,0.739583333333333,0.4,0.666666666666667,0.5,0.739583333333333,{'clf__criterion': 'gini', 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 6, 'clf__splitter': 'random'}
50,tt,150,True,minmax,True,112,38,ada,precision,0.842105263157895,0.838541666666667,0.5,0.833333333333333,0.625,0.838541666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.1, 'clf__n_estimators': 100},,,
51,tt,150,True,minmax,True,112,38,ada,recall,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
52,tt,150,True,minmax,True,112,38,ada,f1,0.81578947368421,0.822916666666667,0.454545454545455,0.833333333333333,0.588235294117647,0.822916666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.3, 'clf__n_estimators': 100},,,
53,tt,150,True,minmax,True,112,38,ada,balanced_accuracy,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME', 'clf__learning_rate': 0.05, 'clf__n_estimators': 10},,,
54,tt,150,True,minmax,True,112,38,ada,roc_auc,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__algorithm': 'SAMME.R', 'clf__learning_rate': 0.01, 'clf__n_estimators': 10},,,
55,tt,150,True,minmax,True,112,38,random_forest,precision,0.763157894736842,0.723958333333333,0.363636363636364,0.666666666666667,0.470588235294118,0.723958333333333,{'clf__bootstrap': True, 'clf__max_depth': 8, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 100}
56,tt,150,True,minmax,True,112,38,random_forest,recall,0.763157894736842,0.723958333333333,0.363636363636364,0.666666666666667,0.470588235294118,0.723958333333333,{'clf__bootstrap': True, 'clf__max_depth': 2, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 4, 'clf__n_estimators': 10}
57,tt,150,True,minmax,True,112,38,random_forest,f1,0.789473684210526,0.807291666666667,0.416666666666667,0.833333333333333,0.555555555555556,0.807291666666667,{'clf__bootstrap': False, 'clf__max_depth': 50, 'clf__max_features': 'auto', 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 6, 'clf__n_estimators': 80}
